&d hh m             cotR11
&X XX X         XXXXXXXXXX
 3  0 0              96.82
 3  0 1              96.80
 3  1 0              96.78
 3  1 1              96.55
 3  2 0              96.25
 3  2 1              96.02
 3  3 0              95.57
 3  3 1              95.16
 3  4 0              94.85
 3  4 1              94.57
 3  5 0              94.36
 3  5 1              94.15
 3  6 0              93.97
 3  6 1              93.85
 3  7 0              93.75
 3  7 1              93.69
 3  8 0              93.71
 3  8 1              93.67
 3  9 0              93.60
 3  9 1              93.51
 3 10 0              93.43
 3 10 1              93.34
 3 11 0              93.24
 3 11 1              93.17
 3 12 0              93.11
 3 12 1              93.05
 3 13 0              92.99
 3 13 1              92.96
 3 14 0              92.92
 3 14 1              92.92
 3 15 0              92.91
 3 15 1              92.98
 3 16 0              93.06
 3 16 1              93.32
 3 17 0              93.66
 3 17 1              93.89
 3 18 0              94.19
 3 18 1              94.43
 3 19 0              94.63
 3 19 1              94.80
 3 20 0              94.94
 3 20 1              95.08
 3 21 0              95.20
 3 21 1              95.30
 3 22 0              95.39
 3 22 1              95.48
 3 23 0              95.56
 3 23 1              95.62
