NUMERO DE USINAS
XXX
168
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 185 131 133 125 180 181 182 147 146 107 108 109 117 118 119 32  11  135 139 262 88  89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  225 103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 145 261 48  53  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 309 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  04  10  2025
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
1 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    04      F                  35
  1 CAMARGOS       1    06      F                  34
  1 CAMARGOS       1    09      F                  33
  2 ITUTINGA       1    04      F                   0
  4 FUNIL-GRANDE   1    04      F                  37
  4 FUNIL-GRANDE   1    08      F                  36
 24 EMBORCACAO     1    04      F                  51
 24 EMBORCACAO     1    05      F                  49
 24 EMBORCACAO     1    06      F                  47
 24 EMBORCACAO     1    07      F                  46
 24 EMBORCACAO     1    08      F                  45
 24 EMBORCACAO     1    09      F                  44
 24 EMBORCACAO     1    10      F                  43
 27 CAPIM BRANC1   1    04      F                   0
 28 CAPIM BRANC2   1    04      F                   1
 25 NOVA PONTE     1    04      F                  66
 25 NOVA PONTE     1    05      F                  64
 25 NOVA PONTE     1    06      F                  62
 25 NOVA PONTE     1    07      F                  61
 25 NOVA PONTE     1    08      F                  60
 25 NOVA PONTE     1    09      F                  59
 25 NOVA PONTE     1    10      F                  58
 33 SAO SIMAO      1    04      F                 237
 33 SAO SIMAO      1    05      F                 230
 33 SAO SIMAO      1    06      F                 224
 33 SAO SIMAO      1    07      F                 219
 33 SAO SIMAO      1    08      F                 215
 33 SAO SIMAO      1    09      F                 211
 33 SAO SIMAO      1    10      F                 207
156 TRES MARIAS    1    04      F                  75
156 TRES MARIAS    1    05      F                  72
156 TRES MARIAS    1    06      F                  69
156 TRES MARIAS    1    07      F                  66
156 TRES MARIAS    1    08      F                  64
156 TRES MARIAS    1    09      F                  62
156 TRES MARIAS    1    10      F                  60
134 SALTO GRANDE   1    04      F                  27
134 SALTO GRANDE   1    06      F                  26
 10 IGARAPAVA      1    04      F                   9
 10 IGARAPAVA      1    06      F                   8
143 AIMORES        1    04      F                  19
162 QUEIMADO       1    04      F                  11
162 QUEIMADO       1    06      F                  10
148 IRAPE          1    04      F                  16
148 IRAPE          1    07      F                  15
217 ROSAL          1    04      F                  11
217 ROSAL          1    09      F                  10
193 SA CARVALHO    1    04      F                   0
141 BAGUARI        1    04      F                  45
141 BAGUARI        1    05      F                  44
141 BAGUARI        1    10      F                  43
 14 CACONDE        1    04      F                  14
 14 CACONDE        1    06      F                  13
 18 A. VERMELHA    1    04      F                  77
 18 A. VERMELHA    1    05      F                  75
 18 A. VERMELHA    1    06      F                  74
 18 A. VERMELHA    1    07      F                  72
 18 A. VERMELHA    1    08      F                  71
 18 A. VERMELHA    1    09      F                  70
 18 A. VERMELHA    1    10      F                  69
 37 BARRA BONITA   1    04      F                  90
 37 BARRA BONITA   1    05      F                  89
 37 BARRA BONITA   1    06      F                  87
 37 BARRA BONITA   1    07      F                  86
