&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    03 00 0  F                  98
DEFANT     4    6  H    03 00 0  F                 125
DEFANT     6    7  H    03 00 0  F                1026
DEFANT     7    8  H    03 00 0  F                1121
DEFANT     8    9  H    03 00 0  F                1127
DEFANT     9   10  H    03 00 0  F                1133
DEFANT    10   11  H    03 00 0  F                1318
DEFANT    11   12  H    03 00 0  F                 913
DEFANT    12   17  H    03 00 0  F                1159
DEFANT    14   15  H    03 00 0  F                  35
DEFANT    15   16  H    03 00 0  F                  43
DEFANT    16   17  H    01 00 0  F                  36
DEFANT    16   17  H    02 00 0  F                  40
DEFANT    16   17  H    03 00 0  F                  37
DEFANT    17   18  H    03 00 0  F                1422
DEFANT    18   34  H    03 00 0  F                1913
DEFANT    20   21  H    03 00 0  F                  78
DEFANT    21   24  H    03 00 0  F                 133
DEFANT    24   31  H    03 00 0  F                 392
DEFANT    25   26  H    03 00 0  F                 408
DEFANT    26   27  H    03 00 0  F                 384
DEFANT    27   28  H    03 00 0  F                 414
DEFANT    28   31  H    03 00 0  F                 378
DEFANT    29  203  H    03 00 0  F                  48
DEFANT    30   31  H    03 00 0  F                 148
DEFANT    31   32  H    03 00 0  F                1502
DEFANT    32   33  H    03 00 0  F                1126
DEFANT    33   34  H    03 00 0  F                2108
DEFANT    34   45  H    03 00 0  F                3860
DEFANT    37   38  H    03 00 0  F                 256
DEFANT    38   39  H    03 00 0  F                 263
DEFANT    39   40  H    03 00 0  F                 291
DEFANT    40   42  H    03 00 0  F                 414
DEFANT    42   43  H    03 00 0  F                 429
DEFANT    43   45  H    03 00 0  F                 635
DEFANT    45   46  H    03 00 0  F                4604
DEFANT    46   66  H    02 00 0  F                4744
DEFANT    46   66  H    03 00 0  F                4252
DEFANT    47   48  H    03 00 0  F                  92
DEFANT    49  249  H    03 00 0  F                 117
DEFANT    50   51  H    03 00 0  F                 142
DEFANT    51   52  H    03 00 0  F                 172
DEFANT    52   61  H    03 00 0  F                 182
DEFANT    53   49  H    03 00 0  F                  83
DEFANT    57   61  H    03 00 0  F                  79
DEFANT    61   62  H    03 00 0  F                 470
DEFANT    62   63  H    03 00 0  F                 600
DEFANT    63   66  H    02 00 0  F                 742
DEFANT    63   66  H    03 00 0  F                 614
DEFANT    71   72  H    03 00 0  F                 125
DEFANT    72   73  H    03 00 0  F                  82
DEFANT    73   77  H    03 00 0  F                  10
DEFANT    74   76  H    03 00 0  F                 330
DEFANT    76   77  H    03 00 0  F                 959
DEFANT    77   78  H    03 00 0  F                 796
DEFANT    78   82  H    03 00 0  F                 542
DEFANT    82   83  H    03 00 0  F                 973
DEFANT    86   91  H    03 00 0  F                 434
DEFANT    88   89  H    03 00 0  F                 369
DEFANT    89   90  H    03 00 0  F                 472
DEFANT    90   91  H    03 00 0  F                 532
DEFANT    91   92  H    03 00 0  F                1448
DEFANT    92  103  H    03 00 0  F                2094
DEFANT    93   94  H    03 00 0  F                 237
DEFANT    94  103  H    03 00 0  F                 325
DEFANT    97   98  H    03 00 0  F                 382
DEFANT    98   99  H    03 00 0  F                 424
DEFANT   101  102  H    03 00 0  F                 412
DEFANT   107   37  H    02 00 0  F                  67
DEFANT   107   37  H    03 00 0  F                   0
DEFANT   110  111  H    03 00 0  F                  64
DEFANT   111  112  H    03 00 0  F                 110
DEFANT   112  113  H    03 00 0  F                 107
DEFANT   113  114  H    03 00 0  F                 256
DEFANT   120  123  H    01 00 0  F                  35
DEFANT   121  122  H    03 00 0  F                 101
DEFANT   122  123  H    30 00 0  F                 126
DEFANT   122  123  H    01 00 0  F                 124
DEFANT   122  123  H    02 00 0  F                 128
DEFANT   122  123  H    03 00 0  F                 129
DEFANT   123  125  H    03 00 0  F                 171
DEFANT   125  129  H    02 00 0  F                  74
DEFANT   126  127  H    03 00 0  F                  12
DEFANT   127  129  H    03 00 0  F                  25
DEFANT   129  130  H    03 00 0  F                  33
DEFANT   134  135  H    03 00 0  F                  36
DEFANT   135  141  H    03 00 0  F                  11
DEFANT   139  141  H    02 00 0  F                  38
