& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   2023  1  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  20160  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  20160  0  0  0          0.
 12  CUIABA G CC    1    0        0.000  37264  0  0  0          0.
 12  CUIABA G CC    2    0        0.000  36768  0  0  0          0.
 12  CUIABA G CC    3    0        0.000  29232  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   6826  0  0  1       1350.
 15  LINHARES       1    0        0.000   6720  0  0  0          0.
 15  LINHARES       2    0        0.000   6720  0  0  0          0.
 15  LINHARES       3    0        0.000   6720  0  0  0          0.
 15  LINHARES       4    0        0.000   6720  0  0  0          0.
 21  MARANHAO V     1    1      337.600    120  1  0  1          0.
 24  J.LACERDA C    7    1      300.000    864  0  0  2        300.
 25  J.LACERDA B    5    1      110.000     39  1  0  2        220.
 25  J.LACERDA B    6    1      110.000    175  1  0  2        220.
 26  J.LACERDA A1   1    0        0.000   1271  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   1520  0  0  0          0.
 27  J.LACERDA A2   3    0        0.000   1304  0  0  0          0.
 27  J.LACERDA A2   4    0        0.000   1304  0  0  0          0.
 28  FIGUEIRA       1    0        0.000  14592  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  20160  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  20160  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  20160  0  0  0          0.
 36  MARANHAO IV    1    1      337.600    110  0  0  1          0.
 43  TERMOBAHIA     1    0        0.000   3047  0  0  0          0.
&Ajuste conforme dados programados e operacao em tempo real
 46  N.VENECIA 2    1    0        0.000     48  0  0  0         81.
 46  N.VENECIA 2    2    1      167.151    120  0  0  1         81.
 47  TERMORIO       1    0        0.000    947  0  0  0          0.
 47  TERMORIO       2    0        0.000   3600  0  0  0          0.
 47  TERMORIO       3    0        0.000  37680  0  0  0          0.
 47  TERMORIO       4    0        0.000   1248  0  0  0          0.
 47  TERMORIO       5    0        0.000  17904  0  0  0          0.
 47  TERMORIO       6    0        0.000   5941  0  0  0          0.
 47  TERMORIO       7    0        0.000    888  0  0  0          0.
 47  TERMORIO       8    0        0.000  35208  0  0  0          0.
 47  TERMORIO       9    0        0.000   4282  0  0  0          0.
 47  TERMORIO      10    0        0.000  17904  0  0  0          0.
 47  TERMORIO      11    0        0.000  35304  1  0  0          0.
 47  TERMORIO      12    0        0.000   3672  0  0  0          0.
 47  TERMORIO      13    0        0.000  35928  0  0  0          0.
 47  TERMORIO      14    0        0.000  35664  0  0  0          0.
 47  TERMORIO      15    0        0.000   8688  0  0  0          0.
 47  TERMORIO      16    0        0.000   8230  0  0  0          0.
 47  TERMORIO      17    0        0.000   2976  0  0  0          0.
 47  TERMORIO      18    0        0.000    758  0  0  0          0.
 47  TERMORIO      19    0        0.000    851  1  0  0          0.
 47  TERMORIO      20    0        0.000    719  0  0  0          0.
 47  TERMORIO      21    0        0.000    864  0  0  0          0.
 47  TERMORIO      22    0        0.000   1236  0  0  0          0.
 47  TERMORIO      23    0        0.000  47640  1  0  0          0.
 47  TERMORIO      24    0        0.000  17904  0  0  0          0.
 47  TERMORIO      25    0        0.000   1079  0  0  0          0.
 47  TERMORIO      26    0        0.000   1217  0  0  0          0.
 47  TERMORIO      27    0        0.000  35424  0  0  0          0.
 47  TERMORIO      28    0        0.000  17904  0  0  0          0.
 47  TERMORIO      29    0        0.000   7327  1  0  0          0.
 47  TERMORIO      30    0        0.000  17904  0  0  0          0.
 47  TERMORIO      31    0        0.000   8096  1  0  0          0.
 48  ARAUCARIA      1    0        0.000  35608  1  0  0          0.
 48  ARAUCARIA      2    0        0.000  35608  1  0  0          0.
 48  ARAUCARIA      3    0        0.000  36506  1  0  0          0.
 49  VIANA          1    0        0.000  35561  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000  13487  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000  13487  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000  13487  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000  13487  0  0  0          0.
 53  GLOBAL I       1    0        0.000  36955  0  0  0          0.
 53  GLOBAL I       2    0        0.000  36990  0  0  0          0.
 53  GLOBAL I       3    0        0.000  36099  0  0  0          0.
 53  GLOBAL I       4    0        0.000   8763  0  0  0          0.
 53  GLOBAL I       5    0        0.000  36060  1  0  0          0.
 53  GLOBAL I       6    0        0.000  36984  1  0  0          0.
 53  GLOBAL I       7    0        0.000  35691  1  0  0          0.
 53  GLOBAL I       8    0        0.000  35664  0  0  0          0.
 53  GLOBAL I       9    0        0.000  36072  1  0  0          0.
 53  GLOBAL I      10    0        0.000  35714  0  0  0          0.
 53  GLOBAL I      11    0        0.000  13486  0  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   3002  1  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   3170  1  0  0          0.
 55  GLOBAL II      1    0        0.000  35776  0  0  0          0.
 55  GLOBAL II      2    0        0.000  35679  0  0  0          0.
 55  GLOBAL II      3    0        0.000  35781  0  0  0          0.
 55  GLOBAL II      4    0        0.000  36098  0  0  0          0.
 55  GLOBAL II      5    0        0.000  16229  0  0  0          0.
 55  GLOBAL II      6    0        0.000   8762  1  0  0          0.
 55  GLOBAL II      7    0        0.000  35696  1  0  0          0.
 55  GLOBAL II      8    0        0.000  35767  1  0  0          0.
 55  GLOBAL II      9    0        0.000  35834  1  0  0          0.
 55  GLOBAL II     10    0        0.000  35672  0  0  0          0.
 55  GLOBAL II     11    0        0.000  13486  0  0  0          0.
 57  MARACANAU I    1    0        0.000   8488  1  0  0          0.
 57  MARACANAU I    2    0        0.000   8855  1  0  0          0.
 57  MARACANAU I    3    0        0.000   8543  0  0  0          0.
 57  MARACANAU I    4    0        0.000   8488  1  0  0          0.
 57  MARACANAU I    5    0        0.000   8855  1  0  0          0.
 57  MARACANAU I    6    0        0.000   8855  1  0  0          0.
 57  MARACANAU I    7    0        0.000   8543  0  0  0          0.
 57  MARACANAU I    8    0        0.000   8488  1  0  0          0.
 58  TERMOCEARA     1    0        0.000  41394  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  41351  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   9336  0  0  0          0.
 58  TERMOCEARA     4    0        0.000   9434  1  0  0          0.
 60  NORTEFLU       1    0        0.000      4  0  0  0          0.
 60  NORTEFLU       2    0        0.000      4  0  0  0          0.
 60  NORTEFLU       3    0        0.000      4  0  0  0          0.
 60  NORTEFLU       4    0        0.000  23448  0  0  0          0.
 60  NORTEFLU       5    0        0.000  23448  0  0  0          0.
 60  NORTEFLU       6    0        0.000  23448  0  0  0          0.
 60  NORTEFLU       7    0        0.000   2126  1  0  0          0.
 62  SEROPEDICA     1    0        0.000    414  0  0  0          0.
 62  SEROPEDICA     2    0        0.000  32928  0  0  0          0.
 62  SEROPEDICA     3    0        0.000  32383  0  0  0          0.
 62  SEROPEDICA     4    0        0.000  32389  1  0  0          0.
 62  SEROPEDICA     5    0        0.000  32921  1  0  0          0.
 62  SEROPEDICA     6    0        0.000   8761  1  0  0          0.
 62  SEROPEDICA     7    0        0.000  15456  1  0  0          0.
 62  SEROPEDICA     8    0        0.000   8785  0  0  0          0.
 63  IBIRITE        1    0        0.000    167  0  0  0          0.
 64  CANOAS         1    0        0.000   8720  0  0  0          0.
 67  TERMONE        1    0        0.000   8423  0  0  0          0.
 67  TERMONE        2    0        0.000   8423  0  0  0          0.
 67  TERMONE        3    0        0.000   8423  0  0  0          0.
 68  TRES LAGOAS    1    0        0.000  35727  0  0  0          0.
 68  TRES LAGOAS    2    0        0.000  47879  0  0  0          0.
 68  TRES LAGOAS    3    0        0.000  19848  0  0  0          0.
 68  TRES LAGOAS    4    0        0.000  37572  0  0  0          0.
 68  TRES LAGOAS    5    0        0.000   8848  0  0  0          0.
 68  TRES LAGOAS    6    0        0.000    288  0  0  0          0.
 68  TRES LAGOAS    7    0        0.000  34960  1  0  0          0.
 68  TRES LAGOAS    8    0        0.000  43560  0  0  0          0.
 68  TRES LAGOAS    9    0        0.000  34875  1  0  0          0.
 68  TRES LAGOAS   10    0        0.000  43442  0  0  0          0.
 68  TRES LAGOAS   11    0        0.000    166  1  0  0          0.
 68  TRES LAGOAS   12    0        0.000  17784  0  0  0          0.
 68  TRES LAGOAS   13    0        0.000  35280  0  0  0          0.
 68  TRES LAGOAS   14    0        0.000  43200  0  0  0          0.
 68  TRES LAGOAS   15    0        0.000   8378  0  0  0          0.
 69  TERMOPB        1    0        0.000   8423  0  0  0          0.
 69  TERMOPB        2    0        0.000   8423  0  0  0          0.
 69  TERMOPB        3    0        0.000   8423  0  0  0          0.
 70  GERAMAR II     1    0        0.000   7418  0  0  0          0.
 73  GERAMAR I      1    0        0.000   7418  0  0  0          0.
 83  VALE DO ACU    2    0        0.000   6528  0  0  0          0.
 86  ST.CRUZ NOVA   1    1      350.000   1778  1  0  0          0.
 86  ST.CRUZ NOVA   2    0        0.000   9151  0  0  0          0.
 86  ST.CRUZ NOVA   3    0        0.000   6726  1  0  0          0.
 86  ST.CRUZ NOVA   4    0        0.000   1686  0  0  0          0.
 90  TERMOMACAE     1    0        0.000    908  0  0  0          0.
 90  TERMOMACAE     2    0        0.000    983  1  0  0          0.
 90  TERMOMACAE     3    0        0.000  42967  1  0  0          0.
 90  TERMOMACAE     4    0        0.000    522  1  0  0          0.
 90  TERMOMACAE     5    0        0.000  35386  1  0  0          0.
 90  TERMOMACAE     6    0        0.000   1079  0  0  0          0.
 90  TERMOMACAE     7    0        0.000   4319  0  0  0          0.
 90  TERMOMACAE     8    0        0.000  19806  0  0  0          0.
 90  TERMOMACAE     9    0        0.000    929  0  0  0          0.
 90  TERMOMACAE    10    0        0.000    920  0  0  0          0.
 90  TERMOMACAE    11    0        0.000   1294  1  0  0          0.
 90  TERMOMACAE    12    0        0.000   1264  1  0  0          0.
 90  TERMOMACAE    13    0        0.000  16489  0  0  0          0.
 90  TERMOMACAE    14    0        0.000    311  0  0  0          0.
 90  TERMOMACAE    15    0        0.000    912  0  0  0          0.
 90  TERMOMACAE    16    0        0.000    352  0  0  0          0.
 90  TERMOMACAE    17    0        0.000    166  1  0  0          0.
 90  TERMOMACAE    18    0        0.000   3648  1  0  0          0.
 90  TERMOMACAE    19    0        0.000   8616  1  0  0          0.
 90  TERMOMACAE    20    0        0.000   7416  1  0  0          0.
 96  TERMOPE        1    0        0.000  16048  0  0  0          0.
 96  TERMOPE        2    0        0.000   8640  1  0  0          0.
 96  TERMOPE        3    0        0.000   8616  0  0  0          0.
 97  CUBATAO        1    0        0.000    120  0  0  0          0.
 97  CUBATAO        2    0        0.000    816  0  0  0          0.
 97  CUBATAO        3    0        0.000   2940  0  0  0          0.
 98  PERNAMBU_III   1    0        0.000   7416  1  0  0          0.
 98  PERNAMBU_III   2    0        0.000   7416  1  0  0          0.
 98  PERNAMBU_III   3    0        0.000   7416  1  0  0          0.
 98  PERNAMBU_III   4    0        0.000   7416  1  0  0          0.
106  ERB CANDEIAS   1    1       12.000    960  0  0  1          3.
107  PAMPA SUL      1    1      345.000     60  0  0  1        285.
108  XAVANTES       1    0        0.000  36088  0  0  0          0.
108  XAVANTES       2    0        0.000  36088  0  0  0          0.
110  N.PIRATININ    1    0        0.000   3411  0  0  0          0.
110  N.PIRATININ    2    0        0.000  36696  1  0  0          0.
110  N.PIRATININ    3    0        0.000   6485  1  0  0          0.
110  N.PIRATININ    4    0        0.000   8785  0  0  0          0.
116  PARNAIBA IV    1    0        0.000   7270  1  0  0          0.
137  GNA I          1    0        0.000   7238  1  0  0          0.
&Ajuste conforme dados programados e operacao em tempo real
140  MAUA 3         1    0        0.000      1  1  0  0        264.
140  MAUA 3         2    1      274.000     72  0  0  1        264.
140  MAUA 3         3    0        0.000    648  0  0  0        264.
144  PETROLINA      1    0        0.000  36608  1  0  0          0.
144  PETROLINA      2    0        0.000  19806  0  0  0          0.
144  PETROLINA      3    0        0.000  36071  0  0  0          0.
144  PETROLINA      4    0        0.000  36087  0  0  0          0.
144  PETROLINA      5    0        0.000  19806  0  0  0          0.
144  PETROLINA      6    0        0.000  36841  1  0  0          0.
144  PETROLINA      7    0        0.000  35610  1  0  0          0.
144  PETROLINA      8    0        0.000  35618  1  0  0          0.
146  STA VITORIA    1    1       41.000   4992  0  0  1         18.
147  PROSPERID. 1   1    0        0.000     72  0  0  0          0.
147  PROSPERID. 1   2    0        0.000    264  0  0  0          0.
147  PROSPERID. 1   3    1        9.000      8  1  0  1          0.
149  SAO SEPE       1    0        0.000     24  0  0  0          0.
151  POTIGUAR       1    0        0.000  35621  0  0  0          0.
151  POTIGUAR       2    0        0.000  35621  0  0  0          0.
151  POTIGUAR       3    0        0.000  35621  0  0  0          0.
151  POTIGUAR       4    0        0.000  35621  0  0  0          0.
152  TERMOCABO      1    0        0.000   8928  1  0  0          0.
152  TERMOCABO      2    0        0.000  35615  0  0  0          0.
152  TERMOCABO      3    0        0.000   7392  1  0  0          0.
153  DAIA           1    0        0.000  20160  0  0  0          0.
153  DAIA           2    0        0.000  20160  0  0  0          0.
156  CANDIOTA 3     1    1      325.000    640  0  0  2        325.
161  POTIGUAR III   1    0        0.000  35621  0  0  0          0.
161  POTIGUAR III   2    0        0.000  35621  0  0  0          0.
161  POTIGUAR III   3    0        0.000  35717  0  0  0          0.
161  POTIGUAR III   4    0        0.000  36125  0  0  0          0.
161  POTIGUAR III   5    0        0.000  35621  0  0  0          0.
161  POTIGUAR III   6    0        0.000  35621  0  0  0          0.
162  PECEM II       1    0        0.000   8809  0  0  0          0.
162  PECEM II       2    0        0.000   8809  0  0  0          0.
162  PECEM II       3    0        0.000   8809  0  0  0          0.
162  PECEM II       4    0        0.000   8809  0  0  0          0.
162  PECEM II       5    0        0.000   8809  0  0  0          0.
162  PECEM II       6    0        0.000   8809  0  0  0          0.
162  PECEM II       7    0        0.000   8809  0  0  0          0.
162  PECEM II       8    0        0.000   8809  0  0  0          0.
162  PECEM II       9    0        0.000   8809  0  0  0          0.
162  PECEM II      10    0        0.000   8809  0  0  0          0.
162  PECEM II      11    0        0.000   8809  0  0  0          0.
162  PECEM II      12    0        0.000   8809  0  0  0          0.
163  P. PECEM II    1    1      240.000      9  1  0  4          0.
167  P. PECEM I     1    1      360.000      9  1  0  1          0.
167  P. PECEM I     2    1      360.000      9  1  0  1          0.
170  SUAPE II       1    0        0.000  13483  0  0  0          0.
170  SUAPE II       2    0        0.000  39529  1  0  0          0.
170  SUAPE II       3    0        0.000  35786  0  0  0          0.
170  SUAPE II       4    0        0.000  35497  1  0  0          0.
170  SUAPE II       5    0        0.000  36848  0  0  0          0.
170  SUAPE II       6    0        0.000  35850  0  0  0          0.
170  SUAPE II       7    0        0.000  36064  1  0  0          0.
170  SUAPE II       8    0        0.000  35993  0  0  0          0.
170  SUAPE II       9    0        0.000  36016  1  0  0          0.
170  SUAPE II      10    0        0.000  35785  0  0  0          0.
170  SUAPE II      11    0        0.000  35618  0  0  0          0.
170  SUAPE II      12    0        0.000  35773  1  0  0          0.
170  SUAPE II      13    0        0.000  35633  0  0  0          0.
170  SUAPE II      14    0        0.000  35625  0  0  0          0.
170  SUAPE II      15    0        0.000  35667  0  0  0          0.
170  SUAPE II      16    0        0.000  16440  0  0  0          0.
170  SUAPE II      17    0        0.000  13488  0  0  0          0.
176  PORTO ITAQUI   1    1      240.000     11  0  0  4          0.
182  PALMEIRAS GO   1    0        0.000  42510  1  0  0          0.
182  PALMEIRAS GO   2    0        0.000  42558  0  0  0          0.
194  T.NORTE 2      1    0        0.000  19812  0  0  0          0.
194  T.NORTE 2      2    0        0.000  19812  0  0  0          0.
194  T.NORTE 2      3    0        0.000  42990  1  0  0          0.
194  T.NORTE 2      4    0        0.000  42990  0  0  0          0.
194  T.NORTE 2      5    0        0.000  42990  0  0  0          0.
194  T.NORTE 2      6    0        0.000  42990  0  0  0          0.
194  T.NORTE 2      7    0        0.000  42990  0  0  0          0.
201  APARECIDA      1    1       25.000     60  1  0  1         75.
201  APARECIDA      2    1       43.000     97  0  0  1         75.
201  APARECIDA      3    1       40.000     59  0  0  1         75.
201  APARECIDA      4    1       40.000     59  1  0  1         75.
203  PORAQUE        1    1       17.076     48  0  0  1         28.
203  PORAQUE        2    1       17.076     48  0  0  1         28.
203  PORAQUE        3    1       17.076     48  0  0  1         28.
203  PORAQUE        4    1       14.772     24  0  0  1         28.
203  PORAQUE        5    1       14.000     24  0  0  1         28.
204  JARAQUI        6    1       36.080     54  1  0  1         29.
204  JARAQUI        7    1       26.920    824  1  0  1         29.
205  PIRARUCU       1    1       11.950     24  0  0  1         35.
205  PIRARUCU       2    1       18.350     24  0  0  1         35.
205  PIRARUCU       3    1       18.350     24  0  0  1         35.
205  PIRARUCU       4    1       18.350     24  0  0  1         35.
207  TUCUNARE       1    1       16.000     24  0  0  1         35.
207  TUCUNARE       2    1       16.000     24  0  0  1         35.
207  TUCUNARE       3    1       16.000     24  0  0  1         35.
207  TUCUNARE       4    1       17.000     24  0  0  1         35.
209  TAMBAQUI       5    1       10.000      1  0  1  1         33.
209  TAMBAQUI       6    1       16.920    129  0  0  1         33.
209  TAMBAQUI       7    1       36.080    103  0  0  1         33.
211  BAIXADA FLU    1    0        0.000    190  1  0  0          0.
211  BAIXADA FLU    2    0        0.000    190  1  0  0          0.
211  BAIXADA FLU    3    1      520.000    131  1  0  1          0.
&Ajuste conforme SGI 61.912-25
212  MARANHAO III   1    0        0.000     15  0  0  0          0.
223  PROSPERID. 3   1    1        9.331      8  1  0  1          0.
223  PROSPERID. 3   2    1        6.676      8  1  0  1          0.
223  PROSPERID. 3   3    1        9.331      8  1  0  1          0.
223  PROSPERID. 3   4    0        0.000     25  0  0  0          0.
223  PROSPERID. 3   5    1        9.331      8  1  0  1          0.
223  PROSPERID. 3   6    1        9.331      8  1  0  1          0.
&Ajuste conforme despacho antecipado GNL
224  P. SERGIPE I   1    1     1593.199    115  1  0  0          0.
224  P. SERGIPE I   2    0        0.000   1932  0  0  0          0.
224  P. SERGIPE I   3    0        0.000    247  1  0  0          0.
224  P. SERGIPE I   4    0        0.000    254  1  0  0          0.
224  P. SERGIPE I   5    0        0.000    247  0  0  0          0.
224  P. SERGIPE I   6    0        0.000    255  1  0  0          0.
224  P. SERGIPE I   7    0        0.000    248  1  0  0          0.
229  ONCA PINTADA   1    1       50.000     61  0  0  1          0.
235  C. MURICY 2    1    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    2    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    3    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    4    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    5    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    6    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    7    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    8    0        0.000   8785  0  0  0          0.
235  C. MURICY 2    9    0        0.000   8785  0  0  0          0.
235  C. MURICY 2   10    0        0.000   8785  0  0  0          0.
235  C. MURICY 2   11    0        0.000   8785  0  0  0          0.
235  C. MURICY 2   12    0        0.000   8785  0  0  0          0.
236  MARLIM AZUL    1    1      565.000    182  1  0  1          0.
238  GNA II         1    1     1672.599    480  0  0  2       1672.
239  PARNAIBA V     1    1      239.000    116  1  0  1          0.
241  PROSPERID. 2   1    0        0.000   1586  1  0  0          0.
241  PROSPERID. 2   2    0        0.000   1586  1  0  0          0.
241  PROSPERID. 2   3    0        0.000   1586  1  0  0          0.
241  PROSPERID. 2   4    0        0.000   1586  1  0  0          0.
245  KARKEY 013     1    0        0.000    816  0  0  0         31.
245  KARKEY 013     2    1       31.000    267  0  0  2         31.
245  KARKEY 013     3    0        0.000   4847  0  0  0         31.
245  KARKEY 013     4    0        0.000   4616  1  0  0         31.
245  KARKEY 013     5    0        0.000   5661  1  0  0         31.
245  KARKEY 013     6    0        0.000   8088  0  0  0         31.
245  KARKEY 013     7    0        0.000   5335  0  0  0         31.
245  KARKEY 013     8    0        0.000   5347  0  0  0         31.
245  KARKEY 013     9    0        0.000   4624  1  0  0         31.
245  KARKEY 013    10    0        0.000   4620  1  0  0         31.
245  KARKEY 013    11    0        0.000   5340  1  0  0         31.
245  KARKEY 013    12    0        0.000    267  0  0  0         31.
245  KARKEY 013    13    0        0.000   5336  1  0  0         31.
246  KARKEY 019     1    0        0.000   7803  0  0  0          0.
