&d hh m             cotR11
&X XX X         XXXXXXXXXX
10  0 0              94.10
10  0 1              94.03
10  1 0              93.93
10  1 1              93.82
10  2 0              93.62
10  2 1              93.46
10  3 0              93.35
10  3 1              93.25
10  4 0              93.17
10  4 1              93.11
10  5 0              93.05
10  5 1              93.02
10  6 0              92.98
10  6 1              92.95
10  7 0              92.92
10  7 1              92.87
10  8 0              92.82
10  8 1              92.70
10  9 0              92.61
10  9 1              92.53
10 10 0              92.52
10 10 1              92.48
10 11 0              92.40
10 11 1              92.36
10 12 0              92.30
10 12 1              92.26
10 13 0              92.21
10 13 1              92.18
10 14 0              92.15
10 14 1              92.15
10 15 0              92.14
10 15 1              92.15
10 16 0              92.19
10 16 1              92.25
10 17 0              92.39
10 17 1              92.53
10 18 0              92.71
10 18 1              92.91
10 19 0              93.09
10 19 1              93.33
10 20 0              93.51
10 20 1              93.66
10 21 0              93.83
10 21 1              93.97
10 22 0              94.26
10 22 1              94.47
10 23 0              94.59
10 23 1              94.74
