NUMERO DE USINAS
XXX
168
NUMERO DAS USINAS NO CADASTRO
1   2   3   4   5   6   7   8   9   10  11  12  13  14  15  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31  32  33  34  35  36  37  38  39  40  41  42  43  44  45  46  47  48  49  50  51  52  53  54  55  56  57  58  59  60  61  62  63  64  65  66  67  68  69  70  71  72  73  74  75  76  77  78  79  80  81  82  83  84  85  86  87  88  89  90  91  92  93  94  95  96  97  98  99  100 101 102 103 104 105 106 107 108 109 110 111 112 113 114 115 116 117 118 119 120 121 122 123 124 125 126 127 128 129 130 131 132 133 134 135 136 137 138 139 140 141 142 143 144 145 146 147 148 149 150 151 152 153 154 155 156 157 158 159 160 161 162 163 164 165 166 167 168 
XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX XXX 
1   2   4   24  27  28  25  33  156 134 10  143 162 148 217 193 141 14  18  37  40  42  15  16  38  39  62  63  52  51  47  49  61  50  45  43  34  153 46  120 121 6   7   8   12  17  31  30  251 278 123 129 20  287 257 122 124 130 185 131 133 125 180 181 182 147 146 107 108 109 117 118 119 32  11  135 139 262 88  89  144 66  110 111 112 113 114 74  76  82  83  115 73  71  72  57  77  78  93  91  92  252 253 267 281 9   26  86  90  97  98  99  225 103 169 172 173 174 175 178 190 189 275 272 279 280 204 127 126 283 145 261 48  53  249 241 304 305 196 195 95  203 154 310 29  94  215 155 311 312 315 21  290 101 276 102 277 285 286 284 227 228 229 309 192 230 288 314 
Hr  Dd  Mm  Ano
XX  XX  XX  XXXX
00  11  10  2025
Dia inic(1-SAB...7-SEX); sem da FCF; n. semanas; pre-interesse
X X X X
1 1 1 0
VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
  1 CAMARGOS       1    11      F                  37
  1 CAMARGOS       1    12      F                  42
  1 CAMARGOS       1    13      F                  41
  1 CAMARGOS       1    14      F                  45
  1 CAMARGOS       1    15      F                  46
  1 CAMARGOS       1    16      F                  44
  1 CAMARGOS       1    17      F                  42
  2 ITUTINGA       1    11      F                   0
  4 FUNIL-GRANDE   1    11      F                  33
  4 FUNIL-GRANDE   1    12      F                  34
  4 FUNIL-GRANDE   1    13      F                  35
  4 FUNIL-GRANDE   1    14      F                  37
  4 FUNIL-GRANDE   1    15      F                  41
  4 FUNIL-GRANDE   1    16      F                  40
  4 FUNIL-GRANDE   1    17      F                  39
 24 EMBORCACAO     1    11      F                  46
 24 EMBORCACAO     1    14      F                  49
 24 EMBORCACAO     1    15      F                  58
 24 EMBORCACAO     1    16      F                  64
 24 EMBORCACAO     1    17      F                  62
 27 CAPIM BRANC1   1    11      F                   0
 28 CAPIM BRANC2   1    11      F                   1
 25 NOVA PONTE     1    11      F                  69
 25 NOVA PONTE     1    12      F                  98
 25 NOVA PONTE     1    13      F                  97
 25 NOVA PONTE     1    14      F                 100
 25 NOVA PONTE     1    15      F                  94
 25 NOVA PONTE     1    16      F                  85
 25 NOVA PONTE     1    17      F                  77
 33 SAO SIMAO      1    11      F                 174
 33 SAO SIMAO      1    12      F                 176
 33 SAO SIMAO      1    13      F                 183
 33 SAO SIMAO      1    14      F                 228
 33 SAO SIMAO      1    15      F                 247
 33 SAO SIMAO      1    16      F                 262
 33 SAO SIMAO      1    17      F                 264
156 TRES MARIAS    1    11      F                  54
156 TRES MARIAS    1    12      F                  57
156 TRES MARIAS    1    14      F                  63
156 TRES MARIAS    1    15      F                  61
156 TRES MARIAS    1    16      F                  58
156 TRES MARIAS    1    17      F                  56
134 SALTO GRANDE   1    11      F                  24
134 SALTO GRANDE   1    14      F                  27
134 SALTO GRANDE   1    15      F                  29
134 SALTO GRANDE   1    16      F                  28
134 SALTO GRANDE   1    17      F                  26
 10 IGARAPAVA      1    11      F                   8
 10 IGARAPAVA      1    17      F                   7
143 AIMORES        1    11      F                  17
162 QUEIMADO       1    11      F                   8
148 IRAPE          1    11      F                  15
148 IRAPE          1    12      F                  14
217 ROSAL          1    11      F                  10
217 ROSAL          1    15      F                  11
193 SA CARVALHO    1    11      F                   0
141 BAGUARI        1    11      F                  41
141 BAGUARI        1    12      F                  40
141 BAGUARI        1    16      F                  41
 14 CACONDE        1    11      F                  22
 14 CACONDE        1    12      F                  27
 14 CACONDE        1    14      F                  26
 14 CACONDE        1    15      F                  24
 14 CACONDE        1    16      F                  21
 14 CACONDE        1    17      F                  18
 18 A. VERMELHA    1    11      F                  59
 18 A. VERMELHA    1    14      F                  61
 18 A. VERMELHA    1    15      F                  62
 18 A. VERMELHA    1    16      F                  63
 37 BARRA BONITA   1    11      F                  93
 37 BARRA BONITA   1    12      F                 102
 37 BARRA BONITA   1    13      F                 110
 37 BARRA BONITA   1    14      F                 117
 37 BARRA BONITA   1    15      F                 131
 37 BARRA BONITA   1    16      F                 128
 37 BARRA BONITA   1    17      F                 117
 40 PROMISSAO      1    11      F                  43
 40 PROMISSAO      1    12      F                  41
 40 PROMISSAO      1    13      F                  46
 40 PROMISSAO      1    15      F                  42
 40 PROMISSAO      1    16      F                  38
 40 PROMISSAO      1    17      F                  36
 42 NAVANHANDAVA   1    11      F                  17
 42 NAVANHANDAVA   1    12      F                  16
 42 NAVANHANDAVA   1    13      F                  18
 42 NAVANHANDAVA   1    15      F                  16
 42 NAVANHANDAVA   1    16      F                  15
 42 NAVANHANDAVA   1    17      F                  14
 15 E. DA CUNHA    1    11      F                  14
 15 E. DA CUNHA    1    12      F                  17
 15 E. DA CUNHA    1    15      F                  15
 15 E. DA CUNHA    1    16      F                  13
 15 E. DA CUNHA    1    17      F                  12
 16 A.S.OLIVEIRA   1    11      F                   0
 38 A.S. LIMA      1    11      F                  21
 38 A.S. LIMA      1    12      F                  23
 38 A.S. LIMA      1    13      F                  26
 38 A.S. LIMA      1    14      F                  27
 38 A.S. LIMA      1    15      F                  23
 38 A.S. LIMA      1    16      F                  19
 38 A.S. LIMA      1    17      F                  18
 39 IBITINGA       1    11      F                  40
 39 IBITINGA       1    12      F                  44
 39 IBITINGA       1    13      F                  50
 39 IBITINGA       1    14      F                  52
 39 IBITINGA       1    15      F                  44
 39 IBITINGA       1    16      F                  37
 39 IBITINGA       1    17      F                  34
 62 TAQUARUCU      1    11      F                  19
 62 TAQUARUCU      1    14      F                  28
 62 TAQUARUCU      1    15      F                  31
 62 TAQUARUCU      1    16      F                  25
 62 TAQUARUCU      1    17      F                  22
 63 ROSANA         1    11      F                  44
 63 ROSANA         1    12      F                  43
 63 ROSANA         1    13      F                  45
 63 ROSANA         1    14      F                  66
 63 ROSANA         1    15      F                  72
 63 ROSANA         1    16      F                  59
 63 ROSANA         1    17      F                  51
 52 CANOAS I       1    11      F                   4
 52 CANOAS I       1    13      F                   5
 52 CANOAS I       1    14      F                   6
 52 CANOAS I       1    16      F                   5
 51 CANOAS II      1    11      F                   2
 51 CANOAS II      1    14      F                   3
 51 CANOAS II      1    17      F                   2
 47 A.A. LAYDNER   1    11      F                  39
 47 A.A. LAYDNER   1    12      F                  43
 47 A.A. LAYDNER   1    13      F                  49
 47 A.A. LAYDNER   1    14      F                  71
 47 A.A. LAYDNER   1    15      F                  86
 47 A.A. LAYDNER   1    16      F                  93
 47 A.A. LAYDNER   1    17      F                 103
 49 CHAVANTES      1    11      F                  24
 49 CHAVANTES      1    12      F                  26
 49 CHAVANTES      1    13      F                  28
 49 CHAVANTES      1    14      F                  40
 49 CHAVANTES      1    15      F                  48
 49 CHAVANTES      1    16      F                  41
 49 CHAVANTES      1    17      F                  35
 61 CAPIVARA       1    11      F                  75
 61 CAPIVARA       1    12      F                  76
 61 CAPIVARA       1    13      F                  98
 61 CAPIVARA       1    14      F                 135
 61 CAPIVARA       1    15      F                 171
 61 CAPIVARA       1    16      F                 148
 61 CAPIVARA       1    17      F                 124
 50 L.N. GARCEZ    1    11      F                  22
 50 L.N. GARCEZ    1    12      F                  23
 50 L.N. GARCEZ    1    13      F                  28
 50 L.N. GARCEZ    1    14      F                  34
 50 L.N. GARCEZ    1    15      F                  35
 50 L.N. GARCEZ    1    16      F                  33
 50 L.N. GARCEZ    1    17      F                  30
 45 JUPIA          1    11      F                 174
 45 JUPIA          1    12      F                 175
 45 JUPIA          1    13      F                 178
 45 JUPIA          1    14      F                 184
 45 JUPIA          1    15      F                 193
 45 JUPIA          1    16      F                 198
 45 JUPIA          1    17      F                 195
 43 TRES IRMAOS    1    11      F                   4
 43 TRES IRMAOS    1    13      F                   5
 34 I. SOLTEIRA    1    11      F                  69
 34 I. SOLTEIRA    1    13      F                  72
 34 I. SOLTEIRA    1    14      F                  76
 34 I. SOLTEIRA    1    15      F                  79
 34 I. SOLTEIRA    1    16      F                  82
 34 I. SOLTEIRA    1    17      F                  85
153 SAO DOMINGOS   1    11      F                  70
153 SAO DOMINGOS   1    12      F                  72
153 SAO DOMINGOS   1    13      F                  73
153 SAO DOMINGOS   1    14      F                  77
153 SAO DOMINGOS   1    15      F                  80
153 SAO DOMINGOS   1    16      F                  78
153 SAO DOMINGOS   1    17      F                  76
 46 P. PRIMAVERA   1    11      F                 295
 46 P. PRIMAVERA   1    12      F                 296
 46 P. PRIMAVERA   1    13      F                 301
 46 P. PRIMAVERA   1    14      F                 321
 46 P. PRIMAVERA   1    15      F                 348
 46 P. PRIMAVERA   1    16      F                 357
 46 P. PRIMAVERA   1    17      F                 351
120 JAGUARI        1    11      F                   7
120 JAGUARI        1    16      F                   6
121 PARAIBUNA      1    11      F                  37
121 PARAIBUNA      1    13      F                  39
121 PARAIBUNA      1    15      F                  37
121 PARAIBUNA      1    16      F                  35
121 PARAIBUNA      1    17      F                  34
  6 FURNAS         1    11      F                 125
  6 FURNAS         1    12      F                 138
  6 FURNAS         1    13      F                 146
  6 FURNAS         1    14      F                 156
  6 FURNAS         1    15      F                 157
  6 FURNAS         1    16      F                 154
  6 FURNAS         1    17      F                 147
  7 M. DE MORAES   1    11      F                  28
  7 M. DE MORAES   1    12      F                  30
  7 M. DE MORAES   1    13      F                  29
  7 M. DE MORAES   1    14      F                  30
  7 M. DE MORAES   1    15      F                  29
  7 M. DE MORAES   1    16      F                  28
  7 M. DE MORAES   1    17      F                  27
  8 ESTREITO       1    11      F                   6
  8 ESTREITO       1    12      F                   7
  8 ESTREITO       1    17      F                   6
 12 P. COLOMBIA    1    11      F                  24
 12 P. COLOMBIA    1    12      F                  28
 12 P. COLOMBIA    1    14      F                  30
 12 P. COLOMBIA    1    16      F                  28
 12 P. COLOMBIA    1    17      F                  27
 17 MARIMBONDO     1    11      F                 117
 17 MARIMBONDO     1    12      F                 127
 17 MARIMBONDO     1    13      F                 139
 17 MARIMBONDO     1    14      F                 146
 17 MARIMBONDO     1    15      F                 148
 17 MARIMBONDO     1    16      F                 146
 17 MARIMBONDO     1    17      F                 141
 31 ITUMBIARA      1    11      F                  56
 31 ITUMBIARA      1    15      F                  68
 31 ITUMBIARA      1    16      F                  71
 31 ITUMBIARA      1    17      F                  68
 30 CORUMBA I      1    11      F                  35
 30 CORUMBA I      1    14      F                  39
 30 CORUMBA I      1    15      F                  44
 30 CORUMBA I      1    16      F                  48
 30 CORUMBA I      1    17      F                  46
251 SERRA MESA     1    11      F                  55
251 SERRA MESA     1    12      F                  54
251 SERRA MESA     1    13      F                  68
251 SERRA MESA     1    14      F                 145
251 SERRA MESA     1    15      F                 269
251 SERRA MESA     1    16      F                 365
251 SERRA MESA     1    17      F                 342
278 MANSO          1    11      F                  29
278 MANSO          1    12      F                  30
278 MANSO          1    13      F                  32
278 MANSO          1    17      F                  31
123 FUNIL          1    11      F                  26
123 FUNIL          1    13      F                  27
123 FUNIL          1    14      F                  30
123 FUNIL          1    16      F                  28
123 FUNIL          1    17      F                  26
129 SIMPLICIO      1    11      F                  54
129 SIMPLICIO      1    12      F                  55
129 SIMPLICIO      1    13      F                  59
129 SIMPLICIO      1    14      F                  63
129 SIMPLICIO      1    16      F                  56
129 SIMPLICIO      1    17      F                  50
 20 BATALHA        1    11      F                  14
 20 BATALHA        1    13      F                  13
 20 BATALHA        1    14      F                  15
 20 BATALHA        1    15      F                  19
 20 BATALHA        1    16      F                  21
 20 BATALHA        1    17      F                  20
287 STO ANTONIO    1    11      F                  72
287 STO ANTONIO    1    12      F                  71
287 STO ANTONIO    1    14      F                  70
287 STO ANTONIO    1    15      F                  69
257 PEIXE ANGIC    1    11      F                  34
257 PEIXE ANGIC    1    13      F                  40
257 PEIXE ANGIC    1    14      F                  50
257 PEIXE ANGIC    1    15      F                  55
257 PEIXE ANGIC    1    17      F                  52
122 SANTA BRANCA   1    11      F                   5
122 SANTA BRANCA   1    13      F                   6
122 SANTA BRANCA   1    15      F                   5
124 LAJES          1    11      F                   2
130 ILHA POMBOS    1    11      F                  22
130 ILHA POMBOS    1    12      F                  23
130 ILHA POMBOS    1    13      F                  24
130 ILHA POMBOS    1    14      F                  26
130 ILHA POMBOS    1    16      F                  23
130 ILHA POMBOS    1    17      F                  20
185 BARRA BRAUNA   1    11      F                  40
185 BARRA BRAUNA   1    12      F                  43
185 BARRA BRAUNA   1    14      F                  46
185 BARRA BRAUNA   1    15      F                  56
185 BARRA BRAUNA   1    16      F                  59
185 BARRA BRAUNA   1    17      F                  52
131 NILO PECANHA   1    11      F                   0
133 P. PASSOS      1    11      F                   0
125 STA CECILIA    1    11      F                  18
125 STA CECILIA    1    13      F                  19
125 STA CECILIA    1    14      F                  20
125 STA CECILIA    1    15      F                  19
125 STA CECILIA    1    17      F                  18
180 TOCOS          1    11      F                   4
180 TOCOS          1    14      F                   5
180 TOCOS          1    15      F                   4
180 TOCOS          1    16      F                   3
181 SANTANA        1    11      F                   2
181 SANTANA        1    17      F                   1
182 VIGARIO        1    11      F                   0
147 FONTES AB      1    11      F                   0
146 FONTES C       1    11      F                   0
107 EDGARD SOUZA   1    11      F                  78
107 EDGARD SOUZA   1    12      F                  57
107 EDGARD SOUZA   1    13      F                  52
107 EDGARD SOUZA   1    14      F                  74
107 EDGARD SOUZA   1    15      F                  57
107 EDGARD SOUZA   1    16      F                  43
107 EDGARD SOUZA   1    17      F                  34
108 TRAICAO        1    11      F                   0
109 PEDREIRA       1    11      F                   0
117 GUARAPIRANGA   1    11      F                  13
117 GUARAPIRANGA   1    12      F                  10
117 GUARAPIRANGA   1    13      F                   9
117 GUARAPIRANGA   1    14      F                  13
117 GUARAPIRANGA   1    15      F                  10
117 GUARAPIRANGA   1    16      F                   7
