&   DEFLUENCIAS ANTERIORES AO INICIO DO ESTUDO
&
&
&        Mont Jus TpJ   di hi m df hf m     defluencia
&X       XXX  XXX  X    XX XX X XX XX X     XXXXXXXXXX
DEFANT     2    4  H    10 00 0  F                 113
DEFANT     4    6  H    10 00 0  F                 170
DEFANT     6    7  H    10 00 0  F                 972
DEFANT     7    8  H    10 00 0  F                 970
DEFANT     8    9  H    10 00 0  F                1053
DEFANT     9   10  H    10 00 0  F                1006
DEFANT    10   11  H    10 00 0  F                1098
DEFANT    11   12  H    10 00 0  F                 937
DEFANT    12   17  H    10 00 0  F                1009
DEFANT    14   15  H    10 00 0  F                  35
DEFANT    15   16  H    10 00 0  F                  42
DEFANT    16   17  H    08 00 0  F                  47
DEFANT    16   17  H    09 00 0  F                  35
DEFANT    16   17  H    10 00 0  F                  37
DEFANT    17   18  H    10 00 0  F                1322
DEFANT    18   34  H    10 00 0  F                1680
DEFANT    20   21  H    10 00 0  F                  79
DEFANT    21   24  H    10 00 0  F                  94
DEFANT    24   31  H    10 00 0  F                 404
DEFANT    25   26  H    10 00 0  F                 445
DEFANT    26   27  H    10 00 0  F                 461
DEFANT    27   28  H    10 00 0  F                 499
DEFANT    28   31  H    10 00 0  F                 512
DEFANT    29  203  H    10 00 0  F                 109
DEFANT    30   31  H    10 00 0  F                 142
DEFANT    31   32  H    10 00 0  F                1506
DEFANT    32   33  H    10 00 0  F                1249
DEFANT    33   34  H    10 00 0  F                1963
DEFANT    34   45  H    10 00 0  F                3876
DEFANT    37   38  H    10 00 0  F                 109
DEFANT    38   39  H    10 00 0  F                 121
DEFANT    39   40  H    10 00 0  F                 157
DEFANT    40   42  H    10 00 0  F                 180
DEFANT    42   43  H    10 00 0  F                 190
DEFANT    43   45  H    10 00 0  F                 643
DEFANT    45   46  H    10 00 0  F                4005
DEFANT    46   66  H    09 00 0  F                3939
DEFANT    46   66  H    10 00 0  F                4321
DEFANT    47   48  H    10 00 0  F                  93
DEFANT    49  249  H    10 00 0  F                 235
DEFANT    50   51  H    10 00 0  F                 206
DEFANT    51   52  H    10 00 0  F                 233
DEFANT    52   61  H    10 00 0  F                 221
DEFANT    53   49  H    10 00 0  F                  83
DEFANT    57   61  H    10 00 0  F                  87
