& CONDICOES INICIAIS DAS UNIDADES                
&                                                
INIT                                             
&us     nome       ug   st   GerInic     tempo MH A/D T  TITULINFLX
&XX XXXXXXXXXXXX  XXX   XX   XXXXXXXXXX  XXXXX  X  X  X  XXXXXXXXXX
  1  ANGRA 1        1    1      640.000   2191  1  0  1        640.
  4  ST.CRUZ 34     3    0        0.000  20328  0  0  0          0.
  4  ST.CRUZ 34     4    0        0.000  20328  0  0  0          0.
 12  CUIABA G CC    1    0        0.000  37432  0  0  0          0.
 12  CUIABA G CC    2    0        0.000  36936  0  0  0          0.
 12  CUIABA G CC    3    0        0.000  29400  0  0  0          0.
 13  ANGRA 2        1    1     1350.000   6994  0  0  1       1350.
 15  LINHARES       1    1       51.000    152  1  0  0          0.
 15  LINHARES       2    1       51.000    152  1  0  0          0.
 15  LINHARES       3    1       51.000    152  1  0  0          0.
 15  LINHARES       4    1       51.000    152  1  0  0          0.
 21  MARANHAO V     1    1      337.600    114  0  0  1          0.
&Ajuste conforme dados programados e operacao em tempo real
 24  J.LACERDA C    7    0        0.000     80  0  0  0          0.
 25  J.LACERDA B    5    1      110.000    207  1  0  2        220.
 25  J.LACERDA B    6    1      110.000    343  1  0  2        220.
 26  J.LACERDA A1   1    0        0.000   1439  0  0  0          0.
 26  J.LACERDA A1   2    0        0.000   1688  0  0  0          0.
 27  J.LACERDA A2   3    1       55.000    107  1  0  2        100.
 27  J.LACERDA A2   4    1       45.000     92  1  0  2        100.
 28  FIGUEIRA       1    0        0.000  14760  0  0  0          0.
 35  URUGUAIANA     1    0        0.000  20328  0  0  0          0.
 35  URUGUAIANA     2    0        0.000  20328  0  0  0          0.
 35  URUGUAIANA     3    0        0.000  20328  0  0  0          0.
 36  MARANHAO IV    1    1      337.600    278  0  0  1          0.
 43  TERMOBAHIA     1    0        0.000   3215  0  0  0          0.
&Ajuste conforme dados programados e operacao em tempo real
 46  N.VENECIA 2    1    0        0.000     48  0  0  0         81.
 46  N.VENECIA 2    2    1      265.000    120  0  0  1         81.
 47  TERMORIO       1    0        0.000   1115  0  0  0          0.
 47  TERMORIO       2    0        0.000   3768  0  0  0          0.
 47  TERMORIO       3    0        0.000  37848  0  0  0          0.
 47  TERMORIO       4    0        0.000   1416  0  0  0          0.
 47  TERMORIO       5    0        0.000  18072  0  0  0          0.
 47  TERMORIO       6    0        0.000   6109  0  0  0          0.
 47  TERMORIO       7    0        0.000   1056  0  0  0          0.
 47  TERMORIO       8    0        0.000  35376  0  0  0          0.
 47  TERMORIO       9    0        0.000   4450  0  0  0          0.
 47  TERMORIO      10    0        0.000  18072  0  0  0          0.
 47  TERMORIO      11    0        0.000  35472  1  0  0          0.
 47  TERMORIO      12    0        0.000   3840  0  0  0          0.
 47  TERMORIO      13    0        0.000  36096  0  0  0          0.
 47  TERMORIO      14    0        0.000  35832  0  0  0          0.
 47  TERMORIO      15    0        0.000   8856  0  0  0          0.
 47  TERMORIO      16    0        0.000   8398  0  0  0          0.
 47  TERMORIO      17    0        0.000   3144  0  0  0          0.
 47  TERMORIO      18    0        0.000    926  0  0  0          0.
 47  TERMORIO      19    0        0.000   1019  1  0  0          0.
 47  TERMORIO      20    0        0.000    887  0  0  0          0.
 47  TERMORIO      21    0        0.000   1032  0  0  0          0.
 47  TERMORIO      22    0        0.000   1404  0  0  0          0.
 47  TERMORIO      23    0        0.000  47808  1  0  0          0.
 47  TERMORIO      24    0        0.000  18072  0  0  0          0.
 47  TERMORIO      25    0        0.000   1247  0  0  0          0.
 47  TERMORIO      26    0        0.000   1385  0  0  0          0.
 47  TERMORIO      27    0        0.000  35592  0  0  0          0.
 47  TERMORIO      28    0        0.000  18072  0  0  0          0.
 47  TERMORIO      29    0        0.000   7495  1  0  0          0.
 47  TERMORIO      30    0        0.000  18072  0  0  0          0.
 47  TERMORIO      31    0        0.000   8264  1  0  0          0.
 48  ARAUCARIA      1    0        0.000  35776  1  0  0          0.
 48  ARAUCARIA      2    0        0.000  35776  1  0  0          0.
 48  ARAUCARIA      3    0        0.000  36674  1  0  0          0.
 49  VIANA          1    0        0.000  35729  0  0  0          0.
 52  CAMPINA GDE    1    0        0.000  13655  0  0  0          0.
 52  CAMPINA GDE    2    0        0.000  13655  0  0  0          0.
 52  CAMPINA GDE    3    0        0.000  13655  0  0  0          0.
 52  CAMPINA GDE    4    0        0.000  13655  0  0  0          0.
 53  GLOBAL I       1    0        0.000  37123  0  0  0          0.
 53  GLOBAL I       2    0        0.000  37158  0  0  0          0.
 53  GLOBAL I       3    0        0.000  36267  0  0  0          0.
 53  GLOBAL I       4    0        0.000   8931  0  0  0          0.
 53  GLOBAL I       5    0        0.000  36228  1  0  0          0.
 53  GLOBAL I       6    0        0.000  37152  1  0  0          0.
 53  GLOBAL I       7    0        0.000  35859  1  0  0          0.
 53  GLOBAL I       8    0        0.000  35832  0  0  0          0.
 53  GLOBAL I       9    0        0.000  36240  1  0  0          0.
 53  GLOBAL I      10    0        0.000  35882  0  0  0          0.
 53  GLOBAL I      11    0        0.000  13654  0  0  0          0.
 54  JUIZ DE FORA   1    0        0.000   3170  1  0  0          0.
 54  JUIZ DE FORA   2    0        0.000   3338  1  0  0          0.
 55  GLOBAL II      1    0        0.000  35944  0  0  0          0.
 55  GLOBAL II      2    0        0.000  35847  0  0  0          0.
 55  GLOBAL II      3    0        0.000  35949  0  0  0          0.
 55  GLOBAL II      4    0        0.000  36266  0  0  0          0.
 55  GLOBAL II      5    0        0.000  16397  0  0  0          0.
 55  GLOBAL II      6    0        0.000   8930  1  0  0          0.
 55  GLOBAL II      7    0        0.000  35864  1  0  0          0.
 55  GLOBAL II      8    0        0.000  35935  1  0  0          0.
 55  GLOBAL II      9    0        0.000  36002  1  0  0          0.
 55  GLOBAL II     10    0        0.000  35840  0  0  0          0.
 55  GLOBAL II     11    0        0.000  13654  0  0  0          0.
 57  MARACANAU I    1    0        0.000   8656  1  0  0          0.
 57  MARACANAU I    2    0        0.000   9023  1  0  0          0.
 57  MARACANAU I    3    0        0.000   8711  0  0  0          0.
 57  MARACANAU I    4    0        0.000   8656  1  0  0          0.
 57  MARACANAU I    5    0        0.000   9023  1  0  0          0.
 57  MARACANAU I    6    0        0.000   9023  1  0  0          0.
 57  MARACANAU I    7    0        0.000   8711  0  0  0          0.
 57  MARACANAU I    8    0        0.000   8656  1  0  0          0.
 58  TERMOCEARA     1    0        0.000  41562  0  0  0          0.
 58  TERMOCEARA     2    0        0.000  41519  0  0  0          0.
 58  TERMOCEARA     3    0        0.000   9504  0  0  0          0.
 58  TERMOCEARA     4    0        0.000   9602  1  0  0          0.
 60  NORTEFLU       1    0        0.000    172  0  0  0          0.
 60  NORTEFLU       2    0        0.000    172  0  0  0          0.
 60  NORTEFLU       3    0        0.000    172  0  0  0          0.
 60  NORTEFLU       4    0        0.000  23616  0  0  0          0.
 60  NORTEFLU       5    0        0.000  23616  0  0  0          0.
 60  NORTEFLU       6    0        0.000  23616  0  0  0          0.
