***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________



CUSTO MARGINAL DE OPERACAO  ($/MWh) / submercado / hora

------;-------;------;---------------;---------------;
 IPER ;  Pat  ; SIST ;     Cmarg     ;  PI_Demanda   ;
------;-------;------;---------------;---------------;
    1 ;  LEVE ; SE   ;        304.30 ;        300.79 ;
    1 ;  LEVE ; S    ;        279.26 ;        300.78 ;
    1 ;  LEVE ; NE   ;        300.57 ;        300.78 ;
    1 ;  LEVE ; N    ;        300.54 ;        300.79 ;
    1 ;  LEVE ; FC   ;          0.00 ;        300.79 ;
    2 ;  LEVE ; SE   ;        300.43 ;        296.53 ;
    2 ;  LEVE ; S    ;        272.42 ;        296.52 ;
    2 ;  LEVE ; NE   ;        296.08 ;        296.52 ;
    2 ;  LEVE ; N    ;        296.77 ;        296.53 ;
    2 ;  LEVE ; FC   ;          0.00 ;        296.53 ;
    3 ;  LEVE ; SE   ;        296.08 ;        291.86 ;
    3 ;  LEVE ; S    ;        265.09 ;        291.85 ;
    3 ;  LEVE ; NE   ;        291.36 ;        291.85 ;
    3 ;  LEVE ; N    ;        292.15 ;        291.86 ;
    3 ;  LEVE ; FC   ;          0.00 ;        291.86 ;
    4 ;  LEVE ; SE   ;        290.70 ;        286.31 ;
    4 ;  LEVE ; S    ;        258.67 ;        286.30 ;
    4 ;  LEVE ; NE   ;        285.80 ;        286.30 ;
    4 ;  LEVE ; N    ;        286.60 ;        286.31 ;
    4 ;  LEVE ; FC   ;          0.00 ;        286.31 ;
    5 ;  LEVE ; SE   ;        289.09 ;        284.68 ;
    5 ;  LEVE ; S    ;        256.90 ;        284.67 ;
    5 ;  LEVE ; NE   ;        284.17 ;        284.68 ;
    5 ;  LEVE ; N    ;        284.97 ;        284.69 ;
    5 ;  LEVE ; FC   ;          0.00 ;        284.68 ;
    6 ;  LEVE ; SE   ;        289.06 ;        284.55 ;
    6 ;  LEVE ; S    ;        256.00 ;        284.54 ;
    6 ;  LEVE ; NE   ;        284.02 ;        284.55 ;
    6 ;  LEVE ; N    ;        284.84 ;        284.55 ;
    6 ;  LEVE ; FC   ;          0.00 ;        284.55 ;
    7 ;  LEVE ; SE   ;        289.19 ;        284.65 ;
    7 ;  LEVE ; S    ;        256.02 ;        284.64 ;
    7 ;  LEVE ; NE   ;        284.11 ;        284.64 ;
    7 ;  LEVE ; N    ;        284.94 ;        284.65 ;
    7 ;  LEVE ; FC   ;          0.00 ;        284.65 ;
    8 ;  LEVE ; SE   ;        287.96 ;        283.60 ;
    8 ;  LEVE ; S    ;        256.16 ;        283.59 ;
    8 ;  LEVE ; NE   ;        283.08 ;        283.59 ;
    8 ;  LEVE ; N    ;        283.88 ;        283.60 ;
    8 ;  LEVE ; FC   ;          0.00 ;        283.60 ;
    9 ;  LEVE ; SE   ;        287.95 ;        283.59 ;
    9 ;  LEVE ; S    ;        256.44 ;        283.58 ;
    9 ;  LEVE ; NE   ;        283.08 ;        283.59 ;
    9 ;  LEVE ; N    ;        283.87 ;        283.60 ;
    9 ;  LEVE ; FC   ;          0.00 ;        283.59 ;
   10 ;  LEVE ; SE   ;        286.90 ;        282.72 ;
   10 ;  LEVE ; S    ;        256.71 ;        282.71 ;
   10 ;  LEVE ; NE   ;        282.45 ;        282.72 ;
   10 ;  LEVE ; N    ;        282.99 ;        282.73 ;
   10 ;  LEVE ; FC   ;          0.00 ;        282.72 ;
   11 ;  LEVE ; SE   ;        287.23 ;        282.98 ;
   11 ;  LEVE ; S    ;        256.74 ;        282.97 ;
   11 ;  LEVE ; NE   ;        282.70 ;        282.97 ;
   11 ;  LEVE ; N    ;        283.25 ;        282.98 ;
   11 ;  LEVE ; FC   ;          0.00 ;        282.98 ;
   12 ;  LEVE ; SE   ;        259.13 ;        259.59 ;
   12 ;  LEVE ; S    ;        259.27 ;        259.58 ;
   12 ;  LEVE ; NE   ;        247.89 ;        259.59 ;
   12 ;  LEVE ; N    ;        289.83 ;        259.60 ;
   12 ;  LEVE ; FC   ;          0.00 ;        259.59 ;
   13 ;  LEVE ; SE   ;        246.04 ;        249.24 ;
   13 ;  LEVE ; S    ;        247.65 ;        249.23 ;
   13 ;  LEVE ; NE   ;        119.17 ;        249.23 ;
   13 ;  LEVE ; N    ;        236.61 ;        249.24 ;
   13 ;  LEVE ; FC   ;          0.00 ;        249.24 ;
   14 ;  LEVE ; SE   ;          0.01 ;          0.01 ;
   14 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   14 ;  LEVE ; NE   ;          0.00 ;          0.01 ;
   14 ;  LEVE ; N    ;          6.89 ;          0.01 ;
   14 ;  LEVE ; FC   ;          0.00 ;          0.01 ;
   15 ;  LEVE ; SE   ;          0.01 ;          0.01 ;
   15 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   15 ;  LEVE ; NE   ;          0.00 ;          0.01 ;
   15 ;  LEVE ; N    ;          3.12 ;          0.01 ;
   15 ;  LEVE ; FC   ;          0.00 ;          0.01 ;
   16 ;  LEVE ; SE   ;          0.01 ;          0.01 ;
   16 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   16 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   16 ;  LEVE ; N    ;          2.99 ;          0.01 ;
   16 ;  LEVE ; FC   ;          0.00 ;          0.01 ;
   17 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   17 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   17 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   17 ;  LEVE ; N    ;          2.92 ;          0.01 ;
   17 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   18 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   18 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   18 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   18 ;  LEVE ; N    ;          2.95 ;          0.01 ;
   18 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   19 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   19 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   19 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
   19 ;  LEVE ; N    ;          3.07 ;          0.01 ;
   19 ;  LEVE ; FC   ;          0.00 ;          0.00 ;
   20 ;  LEVE ; SE   ;          0.00 ;          0.00 ;
   20 ;  LEVE ; S    ;          0.00 ;          0.00 ;
   20 ;  LEVE ; NE   ;          0.00 ;          0.00 ;
