***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________


 
Relatorio dos Contratos de importacao/exportacao de energia e  
 
-----;--------;-----;--------------;----;----;-----------;
 IPER;   Pat  ; Num ;    Nome      ;Tipo;Sist;  Econtr   ;
-----;--------;-----;--------------;----;----;-----------;
   1 ;   LEVE ; 101 ;   BKCPV2-E-F ; CE ; SE ;    325.40 ;
   1 ;   LEVE ; 102 ;   BKCPV4-E-F ; CE ; SE ;    325.40 ;
   1 ;   LEVE ; 111 ;   BKCPV1-I-F ; CI ; SE ;    325.40 ;
   1 ;   LEVE ; 112 ;   BKCPV3-I-F ; CI ; SE ;    325.40 ;
   1 ;   LEVE ; 121 ;   E1POL1-E-F ; CE ; SE ;    161.98 ;
   1 ;   LEVE ; 122 ;   E1POL2-E-F ; CE ; SE ;    161.98 ;
   1 ;   LEVE ; 131 ;   E2POL1-I-F ; CI ; SE ;    161.98 ;
   1 ;   LEVE ; 132 ;   E2POL2-I-F ; CI ; SE ;    161.98 ;
   1 ;   LEVE ; 141 ;   E3POL3-E-F ; CE ; SE ;    161.98 ;
   1 ;   LEVE ; 142 ;   E3POL4-E-F ; CE ; SE ;    161.98 ;
   1 ;   LEVE ; 151 ;   E4POL3-I-F ; CI ; SE ;    161.98 ;
   1 ;   LEVE ; 152 ;   E4POL4-I-F ; CI ; SE ;    161.98 ;
   1 ;   LEVE ; 383 ;   ATLANT-E   ; CE ; SE ;    330.00 ;
   1 ;   LEVE ;  65 ;   TKUTA2-I   ; CI ; SE ;    111.00 ;
   1 ;   LEVE ; 183 ;   TKUTAT-I   ; CI ; SE ;    219.00 ;
   1 ;   LEVE ; 301 ;   FUTDAE-E-F ; CE ; SE ;    270.00 ;
   1 ;   LEVE ; 311 ;   FUTDAS-I-F ; CI ; SE ;    270.00 ;
   1 ;   LEVE ; 302 ;   FUTDCE-I-F ; CI ; SE ;    200.00 ;
