***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________

-------------------------------------------------------
Custos marginais dos contratos de importacao de energia                         
-------------------------------------------------------
---------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
CONTR:     Numero do contrato de imp/exp de energia                                                                                                                                                     
NomeContr: Nome do contrato de imp/exp de energia                                                                                                                                                       
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
NomeSist:  Nome do subsistema                                                                                                                                                                           
Econtr:    Energia contratada                                                                                                                                                                           
CustContr: Custo (Preco) da energia imp/exp                                                                                                                                                             
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
---------------------------------------------------

-----;-----;-----------;--------;--------;---------;---------;----------;------------;
IPER ;CONTR; NomeContr ;NumBarra;NomeSist; Econtr  ;CustContr;   CMO    ;    CMB     ;
  -  ;  -  ;     -     ;   -    ;   -    ;  (MW)   ;  (MW)   ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;-----------;--------;--------;---------;---------;----------;------------;
   1 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.40;     0.00;   304.30 ;     296.28 ;
   1 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.40;     0.00;   304.30 ;     296.28 ;
   1 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   161.98;     0.00;   304.30 ;     296.28 ;
   1 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   161.98;     0.00;   304.30 ;     296.28 ;
   1 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   161.98;     0.00;   304.30 ;     296.28 ;
   1 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   161.98;     0.00;   304.30 ;     296.28 ;
   1 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   304.30 ;     301.01 ;
   1 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   304.30 ;     301.01 ;
   1 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   304.30 ;     301.01 ;
   1 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   304.30 ;     300.45 ;
   1 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   156.50;     0.00;   304.30 ;     346.33 ;
   1 ; 512 ; FUPL3I-I-F;    86  ; SE     ;   397.46;     0.00;   304.30 ;     346.33 ;
   1 ; 611 ; MDRIO1-I-F;  9605  ; SE     ;  1888.38;     0.00;   304.30 ;     300.89 ;
   1 ; 612 ; MDRIO2-I-F;  9605  ; SE     ;  1888.38;     0.00;   304.30 ;     300.89 ;
   1 ; 631 ; MBXNG3-I-F;  8100  ; N      ;     0.00;     0.00;   300.54 ;     300.89 ;
   1 ; 632 ; MBXNG4-I-F;  8100  ; N      ;     0.00;     0.00;   300.54 ;     300.89 ;
   1 ; 711 ; MDEST1-I-F;  3010  ; SE     ;   100.00;     0.00;   304.30 ;     300.67 ;
   1 ; 712 ; MDEST2-I-F;  3010  ; SE     ;   100.00;     0.00;   304.30 ;     300.67 ;
   1 ; 731 ; MBXNG1-I-F;  8100  ; N      ;     0.00;     0.00;   300.54 ;     300.89 ;
   1 ; 732 ; MBXNG2-I-F;  8100  ; N      ;     0.00;     0.00;   300.54 ;     300.89 ;
   2 ; 111 ; BKCPV1-I-F;  7054  ; SE     ;   325.90;     0.00;   300.43 ;     291.47 ;
   2 ; 112 ; BKCPV3-I-F;  7054  ; SE     ;   325.90;     0.00;   300.43 ;     291.47 ;
   2 ; 131 ; E2POL1-I-F;  7057  ; SE     ;   161.73;     0.00;   300.43 ;     291.47 ;
   2 ; 132 ; E2POL2-I-F;  7057  ; SE     ;   161.73;     0.00;   300.43 ;     291.47 ;
   2 ; 151 ; E4POL3-I-F;  7057  ; SE     ;   161.73;     0.00;   300.43 ;     291.47 ;
   2 ; 152 ; E4POL4-I-F;  7057  ; SE     ;   161.73;     0.00;   300.43 ;     291.47 ;
   2 ;  65 ; TKUTA2-I  ;  9637  ; SE     ;   111.00;     0.00;   300.43 ;     296.76 ;
   2 ; 183 ; TKUTAT-I  ;  9637  ; SE     ;   219.00;   262.77;   300.43 ;     296.76 ;
   2 ; 311 ; FUTDAS-I-F;   185  ; SE     ;   270.00;     0.00;   300.43 ;     296.76 ;
   2 ; 302 ; FUTDCE-I-F;  3112  ; SE     ;   200.00;     0.00;   300.43 ;     296.15 ;
   2 ; 511 ; FUPL1I-I-F;    86  ; SE     ;   576.64;     0.00;   300.43 ;     347.53 ;
