***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________

----------------------------------------------
Geracao e custos marginais por unidade termica                                  
----------------------------------------------
------------------------------------------------------
IPER:      Indice do periodo.                                                                                                                                                                           
USIT:      Numero de cadastro da usina termoeletrica                                                                                                                                                    
UNIDT:     Numero de cadastro da unidade termoeletrica                                                                                                                                                  
Nome Usit: Nome da usina termoeletrica                                                                                                                                                                  
NomeSist:  Nome do subsistema                                                                                                                                                                           
NumBarra:  Numero da barra da rede eletrica                                                                                                                                                             
GTER:      Geracao Termoeletrica                                                                                                                                                                        
ClinGter:  Custo linear de geracao da unidade termica                                                                                                                                                   
CMO:       Custo marginal de operacao                                                                                                                                                                   
CMB:       Custo marginal de operacao da barra                                                                                                                                                          
------------------------------------------------------

-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
IPER ;USIT ;UNIDT ;  Nome Usit   ;NomeSist;NumBarra;  GTER   ;ClinGter ;   CMO    ;    CMB     ;
  -  ;  -  ;  -   ;      -       ;   -    ;   -    ;  (MW)   ; ($/MWh) ; (R$/MWh) ;  (R$/MWh)  ;
-----;-----;------;--------------;--------;--------;---------;---------;----------;------------;
   1 ; 001 ; 001  ; ANGRA 1      ; SE     ;    10  ;   640.00;    31.17;   304.30 ;     301.12 ;
   1 ; 004 ; 003  ; ST.CRUZ 34   ; SE     ;    30  ;     0.00;   310.41;   304.30 ;     301.01 ;
   1 ; 004 ; 004  ; ST.CRUZ 34   ; SE     ;    30  ;     0.00;   310.41;   304.30 ;     301.01 ;
   1 ; 012 ; 001  ; CUIABA G CC  ; SE     ;  4596  ;     0.00;   933.00;   304.30 ;     299.78 ;
   1 ; 012 ; 002  ; CUIABA G CC  ; SE     ;  4596  ;     0.00;   933.00;   304.30 ;     299.78 ;
   1 ; 012 ; 003  ; CUIABA G CC  ; SE     ;  4596  ;     0.00;   933.00;   304.30 ;     299.78 ;
   1 ; 013 ; 001  ; ANGRA 2      ; SE     ;    11  ;  1350.00;    20.12;   304.30 ;     301.12 ;
   1 ; 015 ; 001  ; LINHARES     ; SE     ;  9026  ;    51.00;   293.49;   304.30 ;     300.90 ;
   1 ; 015 ; 002  ; LINHARES     ; SE     ;  9026  ;    51.00;   293.49;   304.30 ;     300.90 ;
   1 ; 015 ; 003  ; LINHARES     ; SE     ;  9026  ;    51.00;   293.49;   304.30 ;     300.90 ;
   1 ; 015 ; 004  ; LINHARES     ; SE     ;  9026  ;    51.00;   293.49;   304.30 ;     300.90 ;
   1 ; 021 ; 001  ; MARANHAO V   ; N      ;  5648  ;   337.60;   182.15;   300.54 ;     300.48 ;
   1 ; 024 ; 007  ; J.LACERDA C  ; S      ;   913  ;     0.00;   341.04;   279.26 ;     276.51 ;
   1 ; 025 ; 005  ; J.LACERDA B  ; S      ;   911  ;   110.00;   397.24;   279.26 ;     276.51 ;
   1 ; 025 ; 006  ; J.LACERDA B  ; S      ;   911  ;   110.00;   397.24;   279.26 ;     276.51 ;
   1 ; 026 ; 001  ; J.LACERDA A1 ; S      ;   907  ;     0.00;   475.13;   279.26 ;     276.46 ;
   1 ; 026 ; 002  ; J.LACERDA A1 ; S      ;   907  ;     0.00;   475.13;   279.26 ;     276.46 ;
   1 ; 027 ; 003  ; J.LACERDA A2 ; S      ;   909  ;    55.00;   406.63;   279.26 ;     276.51 ;
   1 ; 027 ; 004  ; J.LACERDA A2 ; S      ;   909  ;    45.00;   406.63;   279.26 ;     276.51 ;
   1 ; 028 ; 001  ; FIGUEIRA     ; S      ;  2481  ;     0.00;   330.64;   279.26 ;     287.82 ;
   1 ; 035 ; 001  ; URUGUAIANA   ; S      ;  1164  ;     0.00;   776.36;   279.26 ;     279.18 ;
   1 ; 035 ; 002  ; URUGUAIANA   ; S      ;  1164  ;     0.00;   776.36;   279.26 ;     279.18 ;
   1 ; 035 ; 003  ; URUGUAIANA   ; S      ;  1164  ;     0.00;   776.36;   279.26 ;     279.18 ;
   1 ; 036 ; 001  ; MARANHAO IV  ; N      ;  5647  ;   337.60;   182.15;   300.54 ;     300.48 ;
   1 ; 043 ; 001  ; TERMOBAHIA   ; NE     ;  5827  ;     0.00;  1038.59;   300.57 ;     300.62 ;
   1 ; 046 ; 001  ; N.VENECIA 2  ; N      ;  5650  ;     0.00;   294.56;   300.54 ;     300.48 ;
   1 ; 046 ; 002  ; N.VENECIA 2  ; N      ;  5650  ;   265.00;   294.56;   300.54 ;     300.48 ;
   1 ; 047 ; 001  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 002  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 003  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 004  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 005  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 006  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 007  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 008  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 009  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 010  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 011  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 012  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 013  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 014  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 015  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 016  ; TERMORIO     ; SE     ;  4203  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 017  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 018  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 019  ; TERMORIO     ; SE     ;  4207  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 020  ; TERMORIO     ; SE     ;  4208  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 021  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 022  ; TERMORIO     ; SE     ;  4207  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 023  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 024  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 025  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 026  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 027  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 028  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
   1 ; 047 ; 029  ; TERMORIO     ; SE     ;  4205  ;     0.00;   945.14;   304.30 ;     300.99 ;
