***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________

--------------------------------------------------
Titulacao dos contrataos de importacao de energia.                              
--------------------------------------------------
-----------------------------------------------------------------------------------
IPER:            Indice do periodo.                                                                                                                                                                     
TIPO:            Tipo de contrato:                                                                                                                                                                      
                 CI: Contrato de importacao de energia                                                                                                                                                  
                 CE: Contrato de exportacao de energia                                                                                                                                                  
CONTR:           Numero do contrato de imp/exp de energia                                                                                                                                               
NomeContr:       Nome do contrato de imp/exp de energia                                                                                                                                                 
Barra:           Barra da rede eletrica                                                                                                                                                                 
Sist:            Numero do subsistema                                                                                                                                                                   
Inflexibilidade: Titulacao do contrato da UTE por parcelas devido a inflexibilidade                                                                                                                     
CustContr:       Custo (Preco) da energia imp/exp                                                                                                                                                       
Geracao:         Geracao do contrato da UTE por parcelas                                                                                                                                                
CMO:             Custo marginal de operacao                                                                                                                                                             
CMB:             Custo marginal de operacao da barra                                                                                                                                                    
ORD.MER.TOTAL:   Indica que a usina esta na ordem de merito gerando o maximo .                                                                                                                          
Titulacao:       Titulacao das unidades termicas.                                                                                                                                                       
-----------------------------------------------------------------------------------

-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
IPER ;TIPO;CONTR; NomeContr ;Barra ;Sist; Inflexibilidade ;CustContr;     Geracao     ;   CMO    ;    CMB     ;ORD.MER.TOTAL;          Titulacao           ;
  -  ; -  ;  -  ;     -     ;  -   ; -  ;       MW        ;  (MW)   ;       MW        ; (R$/MWh) ;  (R$/MWh)  ;      -      ;              -               ;
-----;----;-----;-----------;------;----;-----------------;---------;-----------------;----------;------------;-------------;------------------------------;
   1 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   304.30 ;     301.01 ;             ; Inflexibilidade              ;
   1 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   304.30 ;     301.01 ;     MAX     ; Ordem de merito              ;
   2 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   300.43 ;     296.76 ;             ; Inflexibilidade              ;
   2 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   300.43 ;     296.76 ;     MAX     ; Ordem de merito              ;
   3 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   296.08 ;     292.13 ;             ; Inflexibilidade              ;
   3 ; CI ; 183 ; TKUTAT-I  ;   -  ;  - ;          219.00 ;   262.77;          219.00 ;   296.08 ;     292.13 ;     MAX     ; Ordem de merito              ;
   4 ; CI ;  65 ; TKUTA2-I  ;   -  ;  - ;          111.00 ;     0.00;          111.00 ;   290.70 ;     286.58 ;             ; Inflexibilidade              ;
