***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________


 
Relatorio dos subsistemas 
 
  
OBS.:
1) A geracao de Itaipu injetada, no subsistema Sudeste (SE), inclui a geracao para atender a carga da ANDE.
2) Intercambio IV-SE nao corresponde a recebimento do SE pois Itaipu(60hz) ja se encontra no SE.
  
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
      ;        ;      ;    Cmo     ;   Demanda  ;   Perdas   ;   GpQusi   ;  GfixBar   ;  Grenova   ;  SomatGH   ;  SomatGT   ; ConsEleva  ;  Import.   ;  Export.   ; CortCarg.  ;   Saldo    ;Recebimento ; SomaGTMin  ; SomatGTMax ;   Earm     ;
 IPER ;  Pat   ; Sist ;   $/MWH    ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;     MW     ;    MWH     ;
------;--------;------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;------------;
   1  ;   LEVE ; SE   ;     304.30 ;   42803.27 ;     -      ;       0.00 ;       0.00 ;    5174.00 ;   19856.08 ;    5763.60 ;      23.64 ;    6629.45 ;    2652.70 ;       0.00 ;  -10783.97 ;   10783.97 ;    4621.00 ;   12837.46 ;   99304.78 ;
   1  ;   LEVE ; S    ;     279.26 ;   11812.86 ;     -      ;       0.00 ;       0.00 ;    2837.00 ;   12753.29 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    4771.43 ;   -4771.43 ;     930.00 ;    2180.57 ;   19176.21 ;
   1  ;   LEVE ; NE   ;     300.57 ;   14890.13 ;     -      ;       0.00 ;       0.00 ;   22052.00 ;    2333.75 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11174.50 ;  -11174.50 ;       3.00 ;    5032.53 ;   26411.20 ;
   1  ;   LEVE ; N    ;     300.54 ;    9404.90 ;     -      ;       0.00 ;       0.00 ;     676.00 ;    4353.69 ;    3190.00 ;       0.00 ;       0.00 ;    3976.75 ;       0.00 ;   -5161.96 ;    5161.96 ;    1095.00 ;    3676.55 ;   13418.57 ;
   1  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   2  ;   LEVE ; SE   ;     300.43 ;   41226.88 ;     -      ;       0.00 ;       0.00 ;    5172.00 ;   18760.28 ;    5763.60 ;      23.64 ;    5557.54 ;    2831.88 ;       0.00 ;  -11556.48 ;   11556.48 ;    4621.00 ;   12837.46 ;   99316.40 ;
   2  ;   LEVE ; S    ;     272.42 ;   11396.98 ;     -      ;       0.00 ;       0.00 ;    2819.00 ;   13114.00 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5530.02 ;   -5530.02 ;     930.00 ;    2180.57 ;   19154.93 ;
   2  ;   LEVE ; NE   ;     296.08 ;   14785.22 ;     -      ;       0.00 ;       0.00 ;   22001.00 ;    2333.74 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11228.41 ;  -11228.41 ;       3.00 ;    5032.53 ;   26409.33 ;
   2  ;   LEVE ; N    ;     296.77 ;    9314.91 ;     -      ;       0.00 ;       0.00 ;     677.00 ;    3011.62 ;    3150.00 ;       0.00 ;       0.00 ;    2725.67 ;       0.00 ;   -5201.96 ;    5201.96 ;    1095.00 ;    3676.55 ;   13418.24 ;
   2  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   3  ;   LEVE ; SE   ;     296.08 ;   40296.42 ;     -      ;       0.00 ;       0.00 ;    5168.00 ;   17726.88 ;    5763.60 ;      23.64 ;    4587.10 ;    2910.16 ;       0.00 ;  -12712.15 ;   12712.15 ;    4621.00 ;   12837.46 ;   99333.86 ;
   3  ;   LEVE ; S    ;     265.09 ;   10999.74 ;     -      ;       0.00 ;       0.00 ;    2795.00 ;   13138.73 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5927.99 ;   -5927.99 ;     930.00 ;    2180.57 ;   19170.69 ;
   3  ;   LEVE ; NE   ;     291.36 ;   14355.17 ;     -      ;       0.00 ;       0.00 ;   21939.00 ;    2333.74 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11596.45 ;  -11596.45 ;       3.00 ;    5032.53 ;   26408.29 ;
   3  ;   LEVE ; N    ;     292.15 ;    9214.97 ;     -      ;       0.00 ;       0.00 ;     678.00 ;    2447.32 ;    2954.30 ;       0.00 ;       0.00 ;    1676.93 ;       0.00 ;   -4812.28 ;    4812.28 ;    1095.00 ;    3676.55 ;   13418.43 ;
   3  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   4  ;   LEVE ; SE   ;     290.70 ;   39382.91 ;     -      ;       0.00 ;       0.00 ;    5180.00 ;   16596.99 ;    5763.60 ;      23.64 ;    4554.33 ;    2812.52 ;       0.00 ;  -12851.66 ;   12851.66 ;    4621.00 ;   12837.46 ;   99356.92 ;
   4  ;   LEVE ; S    ;     258.67 ;   10692.82 ;     -      ;       0.00 ;       0.00 ;    2759.00 ;   12869.97 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5930.15 ;   -5930.15 ;     930.00 ;    2180.57 ;   19166.84 ;
   4  ;   LEVE ; NE   ;     285.80 ;   14146.09 ;     -      ;       0.00 ;       0.00 ;   21873.00 ;    2333.73 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11739.53 ;  -11739.53 ;       3.00 ;    5032.53 ;   26407.46 ;
   4  ;   LEVE ; N    ;     286.60 ;    9120.00 ;     -      ;       0.00 ;       0.00 ;     680.00 ;    2449.49 ;    2914.30 ;       0.00 ;       0.00 ;    1741.81 ;       0.00 ;   -4818.02 ;    4818.02 ;    1095.00 ;    3676.55 ;   13418.63 ;
   4  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   5  ;   LEVE ; SE   ;     289.09 ;   38570.93 ;     -      ;       0.00 ;       0.00 ;    5184.00 ;   16093.12 ;    5763.60 ;      23.64 ;    4118.22 ;    2452.31 ;       0.00 ;  -12615.44 ;   12615.44 ;    4621.00 ;   12837.46 ;   99376.84 ;
   5  ;   LEVE ; S    ;     256.90 ;   10478.96 ;     -      ;       0.00 ;       0.00 ;    2712.00 ;   12592.06 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5819.10 ;   -5819.10 ;     930.00 ;    2180.57 ;   19164.60 ;
   5  ;   LEVE ; NE   ;     284.17 ;   14032.05 ;     -      ;       0.00 ;       0.00 ;   21802.00 ;    2333.73 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11782.56 ;  -11782.56 ;       3.00 ;    5032.53 ;   26406.64 ;
   5  ;   LEVE ; N    ;     284.97 ;    8998.94 ;     -      ;       0.00 ;       0.00 ;     680.00 ;    2121.33 ;    2877.30 ;       0.00 ;       0.00 ;    1665.92 ;       0.00 ;   -4986.23 ;    4986.23 ;    1095.00 ;    3679.55 ;   13419.07 ;
   5  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   6  ;   LEVE ; SE   ;     289.06 ;   38027.25 ;     -      ;       0.00 ;       0.00 ;    5180.00 ;   15760.42 ;    5763.60 ;      23.64 ;    4406.07 ;    2546.19 ;       0.00 ;  -12214.50 ;   12214.50 ;    4621.00 ;   12837.46 ;   99397.37 ;
   6  ;   LEVE ; S    ;     256.00 ;   10292.87 ;     -      ;       0.00 ;       0.00 ;    2654.00 ;   12162.14 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5517.27 ;   -5517.27 ;     930.00 ;    2180.57 ;   19163.08 ;
   6  ;   LEVE ; NE   ;     284.02 ;   13910.14 ;     -      ;       0.00 ;       0.00 ;   21728.00 ;    2333.72 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11830.47 ;  -11830.47 ;       3.00 ;    5032.53 ;   26405.96 ;
   6  ;   LEVE ; N    ;     284.84 ;    8888.91 ;     -      ;       0.00 ;       0.00 ;     679.00 ;    2099.25 ;    2837.30 ;       0.00 ;       0.00 ;    1859.88 ;       0.00 ;   -5133.24 ;    5133.24 ;    1095.00 ;    3679.55 ;   13419.53 ;
   6  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   7  ;   LEVE ; SE   ;     289.19 ;   37756.44 ;     -      ;       0.00 ;       0.00 ;    5175.00 ;   15820.03 ;    5763.60 ;      23.64 ;    5058.55 ;    2576.94 ;       0.00 ;  -11267.35 ;   11267.35 ;    4621.00 ;   12837.46 ;   99412.90 ;
   7  ;   LEVE ; S    ;     256.02 ;   10184.84 ;     -      ;       0.00 ;       0.00 ;    2592.00 ;   12143.36 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5544.52 ;   -5544.52 ;     930.00 ;    2180.57 ;   19161.56 ;
   7  ;   LEVE ; NE   ;     284.11 ;   13828.11 ;     -      ;       0.00 ;       0.00 ;   21627.00 ;    2006.07 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11483.84 ;  -11483.84 ;       3.00 ;    5032.53 ;   26405.38 ;
   7  ;   LEVE ; N    ;     284.94 ;    8822.00 ;     -      ;       0.00 ;       0.00 ;     679.00 ;    2101.29 ;    2762.30 ;       0.00 ;       0.00 ;    2481.61 ;       0.00 ;   -5761.01 ;    5761.01 ;    1095.00 ;    3684.55 ;   13419.39 ;
   7  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   8  ;   LEVE ; SE   ;     287.96 ;   37461.27 ;     -      ;       0.00 ;       0.00 ;    5168.00 ;   15641.91 ;    5763.60 ;      23.64 ;    5116.14 ;    2512.25 ;       0.00 ;  -11035.00 ;   11035.00 ;    4621.00 ;   12837.46 ;   99428.82 ;
   8  ;   LEVE ; S    ;     256.16 ;   10096.74 ;     -      ;       0.00 ;       0.00 ;    2527.00 ;   12030.40 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5454.66 ;   -5454.66 ;     930.00 ;    2180.57 ;   19167.86 ;
   8  ;   LEVE ; NE   ;     283.08 ;   13743.22 ;     -      ;       0.00 ;       0.00 ;   21506.00 ;    2006.09 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11447.75 ;  -11447.75 ;       3.00 ;    5032.53 ;   26404.90 ;
   8  ;   LEVE ; N    ;     283.88 ;    8727.09 ;     -      ;       0.00 ;       0.00 ;     678.00 ;    2103.28 ;    2682.30 ;       0.00 ;       0.00 ;    2603.90 ;       0.00 ;   -5867.41 ;    5867.41 ;    1095.00 ;    3644.55 ;   13419.25 ;
   8  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
   9  ;   LEVE ; SE   ;     287.95 ;   37436.85 ;     -      ;       0.00 ;       0.00 ;    5160.00 ;   15611.26 ;    5763.60 ;      23.64 ;    5339.76 ;    2560.24 ;       0.00 ;  -10873.62 ;   10873.62 ;    4621.00 ;   12837.46 ;   99443.15 ;
   9  ;   LEVE ; S    ;     256.44 ;   10060.71 ;     -      ;       0.00 ;       0.00 ;    2470.00 ;   11962.96 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5366.25 ;   -5366.25 ;     930.00 ;    2180.57 ;   19172.88 ;
   9  ;   LEVE ; NE   ;     283.08 ;   13683.02 ;     -      ;       0.00 ;       0.00 ;   21421.00 ;    2006.11 ;    1678.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11422.97 ;  -11422.97 ;       3.00 ;    5032.53 ;   26404.42 ;
   9  ;   LEVE ; N    ;     283.87 ;    8591.95 ;     -      ;       0.00 ;       0.00 ;     676.00 ;    2095.56 ;    2684.30 ;       0.00 ;       0.00 ;    2779.51 ;       0.00 ;   -5915.60 ;    5915.60 ;    1095.00 ;    3646.55 ;   13419.02 ;
   9  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  10  ;   LEVE ; SE   ;     286.90 ;   37276.30 ;     -      ;       0.00 ;       0.00 ;    5153.00 ;   15398.33 ;    5763.60 ;      23.64 ;    4942.28 ;    2600.07 ;       0.00 ;  -11370.30 ;   11370.30 ;    4621.00 ;   12837.46 ;   99458.40 ;
  10  ;   LEVE ; S    ;     256.71 ;   10029.72 ;     -      ;       0.00 ;       0.00 ;    2422.00 ;   12045.25 ;     994.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;    5431.53 ;   -5431.53 ;     930.00 ;    2180.57 ;   19168.23 ;
  10  ;   LEVE ; NE   ;     282.45 ;   13628.07 ;     -      ;       0.00 ;       0.00 ;   21349.00 ;    2006.12 ;    1677.88 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;   11404.93 ;  -11404.93 ;       3.00 ;    5032.53 ;   26403.95 ;
  10  ;   LEVE ; N    ;     282.99 ;    8545.22 ;     -      ;       0.00 ;       0.00 ;     672.00 ;    2064.97 ;    2684.30 ;       0.00 ;       0.00 ;    2342.21 ;       0.00 ;   -5466.16 ;    5466.16 ;    1095.00 ;    3646.55 ;   13418.90 ;
  10  ;   LEVE ; FC   ;       0.00 ;       0.00 ;     -      ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;       0.00 ;
  11  ;   LEVE ; SE   ;     287.23 ;   37348.50 ;     -      ;       0.00 ;       0.00 ;    5144.00 ;   15336.26 ;    5763.60 ;      23.64 ;    4384.01 ;    2596.26 ;       0.00 ;  -12068.02 ;   12068.02 ;    4621.00 ;   12837.46 ;   99472.23 ;
