***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________


======================================================
* RELATORIO FINAL DE OPERACAO NO DIA  1 : 11/10/2025 *
======================================================

1 - BALANCO HIDRICO DIARIO POR USINA (hm3):

 IND     NOME        VOL.INICIAL        VOL.      VOL.     VOL.   VOL.   VOL.   VOL.  VOL.             VOL.FINAL
                     (%)                AFLU      TURB     VERT   DESV   DESC   EVAP  VALT    VBOMB    (%)
---------------------------------------------------------------------------------------------------------------
   1 CAMARGOS       69.84   469.32      3.20     3.24     0.00     -       -         0.03     0.02      -    69.83   469.23
   2 ITUTINGA         -        -        3.24     3.24     0.00     -       -         0.00     0.00      -      -        -  
   4 FUNIL-GRANDE     -        -        9.37     9.29     0.00     -       -         0.03     0.06      -      -        -  
   6 FURNAS         38.58  6642.32     25.40    22.76     0.00     -       -         0.55     0.28      -    38.59  6644.13
   7 M. DE MORAES   79.12  1978.00     33.41    39.41     0.00     -       -         0.12     0.05      -    78.87  1971.84
   8 ESTREITO       48.19    85.85     41.04    24.60     0.00     -       -         0.02     0.01      -    57.40   102.26
   9 JAGUARA        88.67    79.80     31.15    20.93     0.00     -       -         0.02     0.00      -   100.00    90.00
  10 IGARAPAVA        -        -       36.71    36.65     0.00     -       -         0.04     0.01      -      -        -  
  11 VOLTA GRANDE   94.57   253.45     39.69    50.24     0.00     -       -         0.18     0.07      -    90.54   242.66
  12 P. COLOMBIA    82.55   192.75     46.42    44.66     0.00     -       -         0.13     0.39      -    83.08   193.99
  14 CACONDE        43.28   218.13      1.90     2.76     0.00     -       -         0.01     0.03      -    43.10   217.22
  15 E. DA CUNHA      -        -        4.10     4.08     0.00     -       -         0.00     0.03      -      -        -  
  16 A.S.OLIVEIRA     -        -        4.04     4.04     0.00     -       -         0.00     0.00      -      -        -  
  17 MARIMBONDO     28.08  1477.01     57.14    56.33     0.00     -       -         0.20     1.75      -    28.06  1475.87
  18 A. VERMELHA    26.31  1359.96     59.61   103.33     0.00     -       -         0.35     0.48      -    25.45  1315.41
  20 BATALHA        56.90   769.04      1.21     5.66     0.00     -       -         0.15     0.09      -    56.55   764.35
  21 SERRA FACAO    54.13  1865.86      4.74     8.70     0.00     -       -         0.13     0.03      -    54.01  1861.75
  24 EMBORCACAO     53.11  6934.04     12.14     4.15     0.00     -       -         0.17     0.72      -    53.16  6941.15
  25 NOVA PONTE     45.61  4734.32      5.96    10.10     0.00     -       -         0.23     0.15      -    45.57  4729.81
  26 MIRANDA        79.47   116.03     12.91    11.04     0.00     -       -         0.02     0.03      -    80.71   117.84
  27 CAPIM BRANC1   30.38     3.91     17.04    14.64     0.60     -       -         0.02     0.03      -    43.94     5.65
  28 CAPIM BRANC2   78.55     0.79     16.87    16.54     0.00     -       -         0.03     0.09      -    99.93     1.00
  29 CORUMBA IV     66.38   512.06      1.56    12.92     0.00     -       -         0.27     0.10      -    64.86   500.31
  30 CORUMBA I      35.03   360.81     12.58    12.93     0.00     -       -         0.03     0.15      -    34.98   360.28
  31 ITUMBIARA      48.20  6002.83     51.10    44.91     0.00     -       -         0.38     0.71      -    48.24  6007.93
  32 CACH.DOURADA     -        -       67.05    66.91     0.00     -       -         0.06     0.09      -      -        -  
  33 SAO SIMAO      27.27  1510.76     85.11   108.13     0.00     -       -         0.34     1.60      -    26.82  1485.80
  34 I. SOLTEIRA    59.51  3271.26    244.50   258.50     0.00    18.81    -         0.65     0.32      -    58.90  3237.48
  37 BARRA BONITA   76.21  1955.55     14.17    23.69     0.00     -       -         0.17     4.25      -    75.67  1941.61
