***********************************************************************
*                                                                     *
*            CEPEL - CENTRO DE PESQUISAS DE ENERGIA ELETRICA          *
*  MODELO DESSEM     - VERSAO 21 - Marco de 2025 (CPLEX)                             *
*                                                                     *
***********************************************************************


   PROGRAMA LICENCIADO PARA ONS                                                                                                                                                   


____________________________________________________________________

  TE  PMO - OUTUBRO/25 - NOVEMBRO/25 - REV 2 - FCF COM CVAR - 12 REE - VALOR ESPE- Data do Caso: 11/10/2025                                                       
____________________________________________________________________



Resultados Relativos as Usinas Termicas:

----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
IPER;  Pat  ;USIT;     Nome    ;Unid;Sist;  Geracao  ;    GMin   ;    GMax   ; Capacidade ; L/D ;CustoLinear;
    ;       ;    ;             ;    ;    ;     MW    ;     MW    ;     MW    ;      MW    ;     ;   $/(MWh) ;
----;-------;----;-------------;----;----;-----------;-----------;-----------;------------;-----;-----------;
  1 ;  LEVE ;  1 ;ANGRA 1      ;  1 ; SE ;    640.00 ;      0.00 ;    640.00 ;     640.00 ;  L  ;     31.17 ;
  1 ;  LEVE ;  1 ;ANGRA 1      ; 99 ; SE ;    640.00 ;    640.00 ;    640.00 ;     640.00 ;  -  ;           ;
  1 ;  LEVE ;  4 ;ST.CRUZ 34   ;  3 ; SE ;      0.00 ;      0.00 ;      0.00 ;     218.00 ;  D  ;    310.41 ;
  1 ;  LEVE ;  4 ;ST.CRUZ 34   ;  4 ; SE ;      0.00 ;      0.00 ;      0.00 ;     218.00 ;  D  ;    310.41 ;
  1 ;  LEVE ;  4 ;ST.CRUZ 34   ; 99 ; SE ;      0.00 ;      0.00 ;      0.00 ;     436.00 ;  -  ;           ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ;  1 ; SE ;      0.00 ;      0.00 ;    245.00 ;     245.00 ;  L  ;    933.00 ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ;  2 ; SE ;      0.00 ;      0.00 ;    245.00 ;     245.00 ;  L  ;    933.00 ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ;  3 ; SE ;      0.00 ;      0.00 ;    490.00 ;     490.00 ;  L  ;    933.00 ;
  1 ;  LEVE ; 12 ;CUIABA G CC  ; 99 ; SE ;      0.00 ;      0.00 ;    490.00 ;     980.00 ;  -  ;           ;
  1 ;  LEVE ; 13 ;ANGRA 2      ;  1 ; SE ;   1350.00 ;      0.00 ;   1350.00 ;    1350.00 ;  L  ;     20.12 ;
  1 ;  LEVE ; 13 ;ANGRA 2      ; 99 ; SE ;   1350.00 ;   1350.00 ;   1350.00 ;    1350.00 ;  -  ;           ;
  1 ;  LEVE ; 15 ;LINHARES     ;  1 ; SE ;     51.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    293.49 ;
  1 ;  LEVE ; 15 ;LINHARES     ;  2 ; SE ;     51.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    293.49 ;
  1 ;  LEVE ; 15 ;LINHARES     ;  3 ; SE ;     51.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    293.49 ;
  1 ;  LEVE ; 15 ;LINHARES     ;  4 ; SE ;     51.00 ;      0.00 ;     51.00 ;      51.00 ;  L  ;    293.49 ;
  1 ;  LEVE ; 15 ;LINHARES     ; 99 ; SE ;    204.00 ;      0.00 ;    204.00 ;     204.00 ;  -  ;           ;
  1 ;  LEVE ; 21 ;MARANHAO V   ;  1 ; N  ;    337.60 ;      0.00 ;    337.60 ;     337.60 ;  L  ;    182.15 ;
  1 ;  LEVE ; 21 ;MARANHAO V   ; 99 ; N  ;    337.60 ;      0.00 ;    337.60 ;     337.60 ;  -  ;           ;
  1 ;  LEVE ; 24 ;J.LACERDA C  ;  7 ; S  ;      0.00 ;      0.00 ;    330.00 ;     330.00 ;  L  ;    341.04 ;
  1 ;  LEVE ; 24 ;J.LACERDA C  ; 99 ; S  ;      0.00 ;      0.00 ;    330.00 ;     330.00 ;  -  ;           ;
  1 ;  LEVE ; 25 ;J.LACERDA B  ;  5 ; S  ;    110.00 ;      0.00 ;    110.00 ;     110.00 ;  L  ;    397.24 ;
  1 ;  LEVE ; 25 ;J.LACERDA B  ;  6 ; S  ;    110.00 ;      0.00 ;    110.00 ;     110.00 ;  L  ;    397.24 ;
